Player Name,Club,Position,Metric,Value
Wilfred Ndidi,Beşiktaş,Midfielder,Goals,0
Wilfred Ndidi,Beşiktaş,Midfielder,Assists,5
Wilfred Ndidi,Beşiktaş,Midfielder,NPG,0
Wilfred Ndidi,Beşiktaş,Midfielder,XG,2.0
Wilfred Ndidi,Beşiktaş,Midfielder,XA,1.9
Wilfred Ndidi,Beşiktaş,Midfielder,Progressive passes,70
Wilfred Ndidi,Beşiktaş,Midfielder,Progressive carries,18
Wilfred Ndidi,Beşiktaş,Midfielder,Passes completed,839
Wilfred Ndidi,Beşiktaş,Midfielder,Passes attempted,1045
Wilfred Ndidi,Beşiktaş,Midfielder,Key passes,17
Wilfred Ndidi,Beşiktaş,Midfielder,Through balls,4
Wilfred Ndidi,Beşiktaş,Midfielder,Switches,4
Wilfred Ndidi,Beşiktaş,Midfielder,Crosses,30
Wilfred Ndidi,Beşiktaş,Midfielder,Corners,0
Wilfred Ndidi,Beşiktaş,Midfielder,Shot creating Actions,31
Wilfred Ndidi,Beşiktaş,Midfielder,Goal Creating Actions,4
Wilfred Ndidi,Beşiktaş,Midfielder,Tackles,85
Wilfred Ndidi,Beşiktaş,Midfielder,Dribblers tackles,NA
Wilfred Ndidi,Beşiktaş,Midfielder,Shots blocked,19
Wilfred Ndidi,Beşiktaş,Midfielder,Blocks,47
Wilfred Ndidi,Beşiktaş,Midfielder,Interceptions,31
Wilfred Ndidi,Beşiktaş,Midfielder,Errors,0
Wilfred Ndidi,Beşiktaş,Midfielder,Touches,1400
Wilfred Ndidi,Beşiktaş,Midfielder,Miscontrols,37
Wilfred Ndidi,Beşiktaş,Midfielder,Dispossessed,33
Wilfred Ndidi,Beşiktaş,Midfielder,Yellow Cards,8
Wilfred Ndidi,Beşiktaş,Midfielder,Red Cards,0
Wilfred Ndidi,Beşiktaş,Midfielder,Fouls committed,39
Wilfred Ndidi,Beşiktaş,Midfielder,Aerials Won,61
