Player Name,Club,Position,Metric,Value
Youssouf Fofana,Milan,Midfielder,Goals,1
Youssouf Fofana,Milan,Midfielder,Assists,6
Youssouf Fofana,Milan,Midfielder,NPG,1
Youssouf Fofana,Milan,Midfielder,XG,1.3
Youssouf Fofana,Milan,Midfielder,XA,3.4
Youssouf Fofana,Milan,Midfielder,Progressive passes,176
Youssouf Fofana,Milan,Midfielder,Progressive carries,44
Youssouf Fofana,Milan,Midfielder,Passes completed,1237
Youssouf Fofana,Milan,Midfielder,Passes attempted,1444
Youssouf Fofana,Milan,Midfielder,Key passes,23
Youssouf Fofana,Milan,Midfielder,Through balls,13
Youssouf Fofana,Milan,Midfielder,Switches,7
Youssouf Fofana,Milan,Midfielder,Crosses,10
Youssouf Fofana,Milan,Midfielder,Corners,0
Youssouf Fofana,Milan,Midfielder,Shot creating Actions,62
Youssouf Fofana,Milan,Midfielder,Goal Creating Actions,6
Youssouf Fofana,Milan,Midfielder,Tackles,56
Youssouf Fofana,Milan,Midfielder,Dribblers tackles,NA
Youssouf Fofana,Milan,Midfielder,Shots blocked,9
Youssouf Fofana,Milan,Midfielder,Blocks,32
Youssouf Fofana,Milan,Midfielder,Interceptions,19
Youssouf Fofana,Milan,Midfielder,Errors,3
Youssouf Fofana,Milan,Midfielder,Touches,1655
Youssouf Fofana,Milan,Midfielder,Miscontrols,30
Youssouf Fofana,Milan,Midfielder,Dispossessed,20
Youssouf Fofana,Milan,Midfielder,Yellow Cards,5
Youssouf Fofana,Milan,Midfielder,Red Cards,0
Youssouf Fofana,Milan,Midfielder,Fouls committed,28
Youssouf Fofana,Milan,Midfielder,Aerials Won,11
