Player Name,Club,Position,Metric,Value
Andre-Frank Zambo Anguissa,Napoli,Midfielder,Goals,6
Andre-Frank Zambo Anguissa,Napoli,Midfielder,Assists,4
Andre-Frank Zambo Anguissa,Napoli,Midfielder,NPG,6
Andre-Frank Zambo Anguissa,Napoli,Midfielder,XG,4.4
Andre-Frank Zambo Anguissa,Napoli,Midfielder,XA,2.4
Andre-Frank Zambo Anguissa,Napoli,Midfielder,Progressive passes,144
Andre-Frank Zambo Anguissa,Napoli,Midfielder,Progressive carries,24
Andre-Frank Zambo Anguissa,Napoli,Midfielder,Passes completed,1275
Andre-Frank Zambo Anguissa,Napoli,Midfielder,Passes attempted,1509
Andre-Frank Zambo Anguissa,Napoli,Midfielder,Key passes,26
Andre-Frank Zambo Anguissa,Napoli,Midfielder,Through balls,1
Andre-Frank Zambo Anguissa,Napoli,Midfielder,Switches,6
Andre-Frank Zambo Anguissa,Napoli,Midfielder,Crosses,23
Andre-Frank Zambo Anguissa,Napoli,Midfielder,Corners,0
Andre-Frank Zambo Anguissa,Napoli,Midfielder,Shot creating Actions,75
Andre-Frank Zambo Anguissa,Napoli,Midfielder,Goal Creating Actions,9
Andre-Frank Zambo Anguissa,Napoli,Midfielder,Tackles,42
Andre-Frank Zambo Anguissa,Napoli,Midfielder,Dribblers tackles,NA
Andre-Frank Zambo Anguissa,Napoli,Midfielder,Shots blocked,6
Andre-Frank Zambo Anguissa,Napoli,Midfielder,Blocks,24
Andre-Frank Zambo Anguissa,Napoli,Midfielder,Interceptions,35
Andre-Frank Zambo Anguissa,Napoli,Midfielder,Errors,1
Andre-Frank Zambo Anguissa,Napoli,Midfielder,Touches,1825
Andre-Frank Zambo Anguissa,Napoli,Midfielder,Miscontrols,48
Andre-Frank Zambo Anguissa,Napoli,Midfielder,Dispossessed,35
Andre-Frank Zambo Anguissa,Napoli,Midfielder,Yellow Cards,5
Andre-Frank Zambo Anguissa,Napoli,Midfielder,Red Cards,0
Andre-Frank Zambo Anguissa,Napoli,Midfielder,Fouls committed,39
Andre-Frank Zambo Anguissa,Napoli,Midfielder,Aerials Won,67
