Player Name,Club,Position,Metric,Value
Aurélien Tchouaméni,Real Madrid,Midfielder,Goals,0
Aurélien Tchouaméni,Real Madrid,Midfielder,Assists,0
Aurélien Tchouaméni,Real Madrid,Midfielder,NPG,0
Aurélien Tchouaméni,Real Madrid,Midfielder,XG,1.7
Aurélien Tchouaméni,Real Madrid,Midfielder,XA,0.6
Aurélien Tchouaméni,Real Madrid,Midfielder,Progressive passes,154
Aurélien Tchouaméni,Real Madrid,Midfielder,Progressive carries,19
Aurélien Tchouaméni,Real Madrid,Midfielder,Passes completed,1869
Aurélien Tchouaméni,Real Madrid,Midfielder,Passes attempted,2025
Aurélien Tchouaméni,Real Madrid,Midfielder,Key passes,5
Aurélien Tchouaméni,Real Madrid,Midfielder,Through balls,0
Aurélien Tchouaméni,Real Madrid,Midfielder,Switches,9
Aurélien Tchouaméni,Real Madrid,Midfielder,Crosses,12
Aurélien Tchouaméni,Real Madrid,Midfielder,Corners,0
Aurélien Tchouaméni,Real Madrid,Midfielder,Shot creating Actions,34
Aurélien Tchouaméni,Real Madrid,Midfielder,Goal Creating Actions,0
Aurélien Tchouaméni,Real Madrid,Midfielder,Tackles,47
Aurélien Tchouaméni,Real Madrid,Midfielder,Dribblers tackles,NA
Aurélien Tchouaméni,Real Madrid,Midfielder,Shots blocked,25
Aurélien Tchouaméni,Real Madrid,Midfielder,Blocks,34
Aurélien Tchouaméni,Real Madrid,Midfielder,Interceptions,46
Aurélien Tchouaméni,Real Madrid,Midfielder,Errors,1
Aurélien Tchouaméni,Real Madrid,Midfielder,Touches,2324
Aurélien Tchouaméni,Real Madrid,Midfielder,Miscontrols,23
Aurélien Tchouaméni,Real Madrid,Midfielder,Dispossessed,8
Aurélien Tchouaméni,Real Madrid,Midfielder,Yellow Cards,5
Aurélien Tchouaméni,Real Madrid,Midfielder,Red Cards,0
Aurélien Tchouaméni,Real Madrid,Midfielder,Fouls committed,26
Aurélien Tchouaméni,Real Madrid,Midfielder,Aerials Won,74
