Player Name,Club,Position,Metric,Value
Bruno Guimarães,Newcastle United,Midfielder,Goals,5
Bruno Guimarães,Newcastle United,Midfielder,Assists,6
Bruno Guimarães,Newcastle United,Midfielder,NPG,5
Bruno Guimarães,Newcastle United,Midfielder,XG,4.3
Bruno Guimarães,Newcastle United,Midfielder,XA,6.1
Bruno Guimarães,Newcastle United,Midfielder,Progressive passes,271
Bruno Guimarães,Newcastle United,Midfielder,Progressive carries,64
Bruno Guimarães,Newcastle United,Midfielder,Passes completed,1481
Bruno Guimarães,Newcastle United,Midfielder,Passes attempted,1798
Bruno Guimarães,Newcastle United,Midfielder,Key passes,52
Bruno Guimarães,Newcastle United,Midfielder,Through balls,22
Bruno Guimarães,Newcastle United,Midfielder,Switches,14
Bruno Guimarães,Newcastle United,Midfielder,Crosses,28
Bruno Guimarães,Newcastle United,Midfielder,Corners,5
Bruno Guimarães,Newcastle United,Midfielder,Shot creating Actions,133
Bruno Guimarães,Newcastle United,Midfielder,Goal Creating Actions,18
Bruno Guimarães,Newcastle United,Midfielder,Tackles,83
Bruno Guimarães,Newcastle United,Midfielder,Dribblers tackles,NA
Bruno Guimarães,Newcastle United,Midfielder,Shots blocked,10
Bruno Guimarães,Newcastle United,Midfielder,Blocks,36
Bruno Guimarães,Newcastle United,Midfielder,Interceptions,29
Bruno Guimarães,Newcastle United,Midfielder,Errors,5
Bruno Guimarães,Newcastle United,Midfielder,Touches,2213
Bruno Guimarães,Newcastle United,Midfielder,Miscontrols,56
Bruno Guimarães,Newcastle United,Midfielder,Dispossessed,76
Bruno Guimarães,Newcastle United,Midfielder,Yellow Cards,7
Bruno Guimarães,Newcastle United,Midfielder,Red Cards,0
Bruno Guimarães,Newcastle United,Midfielder,Fouls committed,65
Bruno Guimarães,Newcastle United,Midfielder,Aerials Won,18
