Player Name,Club,Position,Metric,Value
Carlos Soler,Real Sociedad,Midfielder,Goals,1
Carlos Soler,Real Sociedad,Midfielder,Assists,1
Carlos Soler,Real Sociedad,Midfielder,NPG,1
Carlos Soler,Real Sociedad,Midfielder,XG,1.8
Carlos Soler,Real Sociedad,Midfielder,XA,1.4
Carlos Soler,Real Sociedad,Midfielder,Progressive passes,56
Carlos Soler,Real Sociedad,Midfielder,Progressive carries,17
Carlos Soler,Real Sociedad,Midfielder,Passes completed,570
Carlos Soler,Real Sociedad,Midfielder,Passes attempted,669
Carlos Soler,Real Sociedad,Midfielder,Key passes,18
Carlos Soler,Real Sociedad,Midfielder,Through balls,4
Carlos Soler,Real Sociedad,Midfielder,Switches,6
Carlos Soler,Real Sociedad,Midfielder,Crosses,34
Carlos Soler,Real Sociedad,Midfielder,Corners,21
Carlos Soler,Real Sociedad,Midfielder,Shot creating Actions,51
Carlos Soler,Real Sociedad,Midfielder,Goal Creating Actions,2
Carlos Soler,Real Sociedad,Midfielder,Tackles,16
Carlos Soler,Real Sociedad,Midfielder,Dribblers tackles,NA
Carlos Soler,Real Sociedad,Midfielder,Shots blocked,6
Carlos Soler,Real Sociedad,Midfielder,Blocks,19
Carlos Soler,Real Sociedad,Midfielder,Interceptions,8
Carlos Soler,Real Sociedad,Midfielder,Errors,2
Carlos Soler,Real Sociedad,Midfielder,Touches,794
Carlos Soler,Real Sociedad,Midfielder,Miscontrols,14
Carlos Soler,Real Sociedad,Midfielder,Dispossessed,14
Carlos Soler,Real Sociedad,Midfielder,Yellow Cards,6
Carlos Soler,Real Sociedad,Midfielder,Red Cards,0
Carlos Soler,Real Sociedad,Midfielder,Fouls committed,26
Carlos Soler,Real Sociedad,Midfielder,Aerials Won,10
