Player Name,Club,Position,Metric,Value
Christian Eriksen,Wolfsburg,Midfielder,Goals,1
Christian Eriksen,Wolfsburg,Midfielder,Assists,2
Christian Eriksen,Wolfsburg,Midfielder,NPG,0
Christian Eriksen,Wolfsburg,Midfielder,XG,1.4
Christian Eriksen,Wolfsburg,Midfielder,XA,3.2
Christian Eriksen,Wolfsburg,Midfielder,Progressive passes,55
Christian Eriksen,Wolfsburg,Midfielder,Progressive carries,13
Christian Eriksen,Wolfsburg,Midfielder,Passes completed,590
Christian Eriksen,Wolfsburg,Midfielder,Passes attempted,749
Christian Eriksen,Wolfsburg,Midfielder,Key passes,31
Christian Eriksen,Wolfsburg,Midfielder,Through balls,8
Christian Eriksen,Wolfsburg,Midfielder,Switches,8
Christian Eriksen,Wolfsburg,Midfielder,Crosses,85
Christian Eriksen,Wolfsburg,Midfielder,Corners,62
Christian Eriksen,Wolfsburg,Midfielder,Shot creating Actions,56
Christian Eriksen,Wolfsburg,Midfielder,Goal Creating Actions,7
Christian Eriksen,Wolfsburg,Midfielder,Tackles,19
Christian Eriksen,Wolfsburg,Midfielder,Dribblers tackles,NA
Christian Eriksen,Wolfsburg,Midfielder,Shots blocked,5
Christian Eriksen,Wolfsburg,Midfielder,Blocks,15
Christian Eriksen,Wolfsburg,Midfielder,Interceptions,7
Christian Eriksen,Wolfsburg,Midfielder,Errors,0
Christian Eriksen,Wolfsburg,Midfielder,Touches,850
Christian Eriksen,Wolfsburg,Midfielder,Miscontrols,13
Christian Eriksen,Wolfsburg,Midfielder,Dispossessed,5
Christian Eriksen,Wolfsburg,Midfielder,Yellow Cards,4
Christian Eriksen,Wolfsburg,Midfielder,Red Cards,0
Christian Eriksen,Wolfsburg,Midfielder,Fouls committed,8
Christian Eriksen,Wolfsburg,Midfielder,Aerials Won,2
