Player Name,Club,Position,Metric,Value
Conor Gallagher,Atlético Madrid,Midfielder,Goals,3
Conor Gallagher,Atlético Madrid,Midfielder,Assists,3
Conor Gallagher,Atlético Madrid,Midfielder,NPG,3
Conor Gallagher,Atlético Madrid,Midfielder,XG,2.8
Conor Gallagher,Atlético Madrid,Midfielder,XA,1.2
Conor Gallagher,Atlético Madrid,Midfielder,Progressive passes,64
Conor Gallagher,Atlético Madrid,Midfielder,Progressive carries,24
Conor Gallagher,Atlético Madrid,Midfielder,Passes completed,714
Conor Gallagher,Atlético Madrid,Midfielder,Passes attempted,840
Conor Gallagher,Atlético Madrid,Midfielder,Key passes,12
Conor Gallagher,Atlético Madrid,Midfielder,Through balls,3
Conor Gallagher,Atlético Madrid,Midfielder,Switches,1
Conor Gallagher,Atlético Madrid,Midfielder,Crosses,13
Conor Gallagher,Atlético Madrid,Midfielder,Corners,1
Conor Gallagher,Atlético Madrid,Midfielder,Shot creating Actions,32
Conor Gallagher,Atlético Madrid,Midfielder,Goal Creating Actions,8
Conor Gallagher,Atlético Madrid,Midfielder,Tackles,45
Conor Gallagher,Atlético Madrid,Midfielder,Dribblers tackles,NA
Conor Gallagher,Atlético Madrid,Midfielder,Shots blocked,5
Conor Gallagher,Atlético Madrid,Midfielder,Blocks,23
Conor Gallagher,Atlético Madrid,Midfielder,Interceptions,20
Conor Gallagher,Atlético Madrid,Midfielder,Errors,0
Conor Gallagher,Atlético Madrid,Midfielder,Touches,1062
Conor Gallagher,Atlético Madrid,Midfielder,Miscontrols,25
Conor Gallagher,Atlético Madrid,Midfielder,Dispossessed,23
Conor Gallagher,Atlético Madrid,Midfielder,Yellow Cards,2
Conor Gallagher,Atlético Madrid,Midfielder,Red Cards,0
Conor Gallagher,Atlético Madrid,Midfielder,Fouls committed,32
Conor Gallagher,Atlético Madrid,Midfielder,Aerials Won,9
