Player Name,Club,Position,Metric,Value
Fabio Carvalho,Brentford,Midfielder,Goals,2
Fabio Carvalho,Brentford,Midfielder,Assists,1
Fabio Carvalho,Brentford,Midfielder,NPG,2
Fabio Carvalho,Brentford,Midfielder,XG,2.5
Fabio Carvalho,Brentford,Midfielder,XA,0.7
Fabio Carvalho,Brentford,Midfielder,Progressive passes,17
Fabio Carvalho,Brentford,Midfielder,Progressive carries,9
Fabio Carvalho,Brentford,Midfielder,Passes completed,126
Fabio Carvalho,Brentford,Midfielder,Passes attempted,178
Fabio Carvalho,Brentford,Midfielder,Key passes,4
Fabio Carvalho,Brentford,Midfielder,Through balls,2
Fabio Carvalho,Brentford,Midfielder,Switches,0
Fabio Carvalho,Brentford,Midfielder,Crosses,10
Fabio Carvalho,Brentford,Midfielder,Corners,7
Fabio Carvalho,Brentford,Midfielder,Shot creating Actions,10
Fabio Carvalho,Brentford,Midfielder,Goal Creating Actions,1
Fabio Carvalho,Brentford,Midfielder,Tackles,13
Fabio Carvalho,Brentford,Midfielder,Dribblers tackles,NA
Fabio Carvalho,Brentford,Midfielder,Shots blocked,1
Fabio Carvalho,Brentford,Midfielder,Blocks,6
Fabio Carvalho,Brentford,Midfielder,Interceptions,3
Fabio Carvalho,Brentford,Midfielder,Errors,0
Fabio Carvalho,Brentford,Midfielder,Touches,247
Fabio Carvalho,Brentford,Midfielder,Miscontrols,13
Fabio Carvalho,Brentford,Midfielder,Dispossessed,8
Fabio Carvalho,Brentford,Midfielder,Yellow Cards,1
Fabio Carvalho,Brentford,Midfielder,Red Cards,0
Fabio Carvalho,Brentford,Midfielder,Fouls committed,5
Fabio Carvalho,Brentford,Midfielder,Aerials Won,2
