Player Name,Club,Position,Metric,Value
Florian Neuhaus,Mönchengladbach,Midfielder,Goals,0
Florian Neuhaus,Mönchengladbach,Midfielder,Assists,1
Florian Neuhaus,Mönchengladbach,Midfielder,NPG,0
Florian Neuhaus,Mönchengladbach,Midfielder,XG,0.6
Florian Neuhaus,Mönchengladbach,Midfielder,XA,0.3
Florian Neuhaus,Mönchengladbach,Midfielder,Progressive passes,27
Florian Neuhaus,Mönchengladbach,Midfielder,Progressive carries,10
Florian Neuhaus,Mönchengladbach,Midfielder,Passes completed,194
Florian Neuhaus,Mönchengladbach,Midfielder,Passes attempted,233
Florian Neuhaus,Mönchengladbach,Midfielder,Key passes,6
Florian Neuhaus,Mönchengladbach,Midfielder,Through balls,0
Florian Neuhaus,Mönchengladbach,Midfielder,Switches,3
Florian Neuhaus,Mönchengladbach,Midfielder,Crosses,9
Florian Neuhaus,Mönchengladbach,Midfielder,Corners,0
Florian Neuhaus,Mönchengladbach,Midfielder,Shot creating Actions,17
Florian Neuhaus,Mönchengladbach,Midfielder,Goal Creating Actions,1
Florian Neuhaus,Mönchengladbach,Midfielder,Tackles,10
Florian Neuhaus,Mönchengladbach,Midfielder,Dribblers tackles,NA
Florian Neuhaus,Mönchengladbach,Midfielder,Shots blocked,2
Florian Neuhaus,Mönchengladbach,Midfielder,Blocks,9
Florian Neuhaus,Mönchengladbach,Midfielder,Interceptions,6
Florian Neuhaus,Mönchengladbach,Midfielder,Errors,1
Florian Neuhaus,Mönchengladbach,Midfielder,Touches,292
Florian Neuhaus,Mönchengladbach,Midfielder,Miscontrols,9
Florian Neuhaus,Mönchengladbach,Midfielder,Dispossessed,1
Florian Neuhaus,Mönchengladbach,Midfielder,Yellow Cards,1
Florian Neuhaus,Mönchengladbach,Midfielder,Red Cards,0
Florian Neuhaus,Mönchengladbach,Midfielder,Fouls committed,4
Florian Neuhaus,Mönchengladbach,Midfielder,Aerials Won,0
