Player Name,Club,Position,Metric,Value
Florian Wirtz,Liverpool,Midfielder,Goals,10
Florian Wirtz,Liverpool,Midfielder,Assists,12
Florian Wirtz,Liverpool,Midfielder,NPG,8
Florian Wirtz,Liverpool,Midfielder,XG,9.4
Florian Wirtz,Liverpool,Midfielder,XA,7.0
Florian Wirtz,Liverpool,Midfielder,Progressive passes,176
Florian Wirtz,Liverpool,Midfielder,Progressive carries,131
Florian Wirtz,Liverpool,Midfielder,Passes completed,1370
Florian Wirtz,Liverpool,Midfielder,Passes attempted,1749
Florian Wirtz,Liverpool,Midfielder,Key passes,57
Florian Wirtz,Liverpool,Midfielder,Through balls,26
Florian Wirtz,Liverpool,Midfielder,Switches,8
Florian Wirtz,Liverpool,Midfielder,Crosses,101
Florian Wirtz,Liverpool,Midfielder,Corners,42
Florian Wirtz,Liverpool,Midfielder,Shot creating Actions,148
Florian Wirtz,Liverpool,Midfielder,Goal Creating Actions,26
Florian Wirtz,Liverpool,Midfielder,Tackles,32
Florian Wirtz,Liverpool,Midfielder,Dribblers tackles,NA
Florian Wirtz,Liverpool,Midfielder,Shots blocked,3
Florian Wirtz,Liverpool,Midfielder,Blocks,32
Florian Wirtz,Liverpool,Midfielder,Interceptions,10
Florian Wirtz,Liverpool,Midfielder,Errors,1
Florian Wirtz,Liverpool,Midfielder,Touches,2096
Florian Wirtz,Liverpool,Midfielder,Miscontrols,58
Florian Wirtz,Liverpool,Midfielder,Dispossessed,47
Florian Wirtz,Liverpool,Midfielder,Yellow Cards,3
Florian Wirtz,Liverpool,Midfielder,Red Cards,0
Florian Wirtz,Liverpool,Midfielder,Fouls committed,22
Florian Wirtz,Liverpool,Midfielder,Aerials Won,9
