Player Name,Club,Position,Metric,Value
Franck Kessié,Al-Ahli,Midfielder,Goals,2
Franck Kessié,Al-Ahli,Midfielder,Assists,4
Franck Kessié,Al-Ahli,Midfielder,NPG,1
Franck Kessié,Al-Ahli,Midfielder,XG,NA
Franck Kessié,Al-Ahli,Midfielder,XA,NA
Franck Kessié,Al-Ahli,Midfielder,Progressive passes,NA
Franck Kessié,Al-Ahli,Midfielder,Progressive carries,NA
Franck Kessié,Al-Ahli,Midfielder,Passes completed,NA
Franck Kessié,Al-Ahli,Midfielder,Passes attempted,NA
Franck Kessié,Al-Ahli,Midfielder,Key passes,NA
Franck Kessié,Al-Ahli,Midfielder,Through balls,NA
Franck Kessié,Al-Ahli,Midfielder,Switches,NA
Franck Kessié,Al-Ahli,Midfielder,Crosses,15
Franck Kessié,Al-Ahli,Midfielder,Corners,NA
Franck Kessié,Al-Ahli,Midfielder,Shot creating Actions,NA
Franck Kessié,Al-Ahli,Midfielder,Goal Creating Actions,NA
Franck Kessié,Al-Ahli,Midfielder,Tackles,28
Franck Kessié,Al-Ahli,Midfielder,Dribblers tackles,NA
Franck Kessié,Al-Ahli,Midfielder,Shots blocked,NA
Franck Kessié,Al-Ahli,Midfielder,Blocks,NA
Franck Kessié,Al-Ahli,Midfielder,Interceptions,18
Franck Kessié,Al-Ahli,Midfielder,Errors,NA
Franck Kessié,Al-Ahli,Midfielder,Touches,NA
Franck Kessié,Al-Ahli,Midfielder,Miscontrols,NA
Franck Kessié,Al-Ahli,Midfielder,Dispossessed,NA
Franck Kessié,Al-Ahli,Midfielder,Yellow Cards,7
Franck Kessié,Al-Ahli,Midfielder,Red Cards,0
Franck Kessié,Al-Ahli,Midfielder,Fouls committed,43
Franck Kessié,Al-Ahli,Midfielder,Aerials Won,NA
