Player Name,Club,Position,Metric,Value
Frenkie de Jong,Barcelona,Midfielder,Goals,2
Frenkie de Jong,Barcelona,Midfielder,Assists,2
Frenkie de Jong,Barcelona,Midfielder,NPG,2
Frenkie de Jong,Barcelona,Midfielder,XG,0.7
Frenkie de Jong,Barcelona,Midfielder,XA,2.0
Frenkie de Jong,Barcelona,Midfielder,Progressive passes,120
Frenkie de Jong,Barcelona,Midfielder,Progressive carries,36
Frenkie de Jong,Barcelona,Midfielder,Passes completed,1084
Frenkie de Jong,Barcelona,Midfielder,Passes attempted,1148
Frenkie de Jong,Barcelona,Midfielder,Key passes,21
Frenkie de Jong,Barcelona,Midfielder,Through balls,4
Frenkie de Jong,Barcelona,Midfielder,Switches,2
Frenkie de Jong,Barcelona,Midfielder,Crosses,6
Frenkie de Jong,Barcelona,Midfielder,Corners,0
Frenkie de Jong,Barcelona,Midfielder,Shot creating Actions,43
Frenkie de Jong,Barcelona,Midfielder,Goal Creating Actions,11
Frenkie de Jong,Barcelona,Midfielder,Tackles,19
Frenkie de Jong,Barcelona,Midfielder,Dribblers tackles,NA
Frenkie de Jong,Barcelona,Midfielder,Shots blocked,1
Frenkie de Jong,Barcelona,Midfielder,Blocks,9
Frenkie de Jong,Barcelona,Midfielder,Interceptions,12
Frenkie de Jong,Barcelona,Midfielder,Errors,1
Frenkie de Jong,Barcelona,Midfielder,Touches,1226
Frenkie de Jong,Barcelona,Midfielder,Miscontrols,5
Frenkie de Jong,Barcelona,Midfielder,Dispossessed,7
Frenkie de Jong,Barcelona,Midfielder,Yellow Cards,3
Frenkie de Jong,Barcelona,Midfielder,Red Cards,0
Frenkie de Jong,Barcelona,Midfielder,Fouls committed,14
Frenkie de Jong,Barcelona,Midfielder,Aerials Won,10
