Player Name,Club,Position,Metric,Value
Houssem Aouar,Al Ittihad Jeddah,Midfielder,Goals,12
Houssem Aouar,Al Ittihad Jeddah,Midfielder,Assists,4
Houssem Aouar,Al Ittihad Jeddah,Midfielder,NPG,11
Houssem Aouar,Al Ittihad Jeddah,Midfielder,XG,NA
Houssem Aouar,Al Ittihad Jeddah,Midfielder,XA,NA
Houssem Aouar,Al Ittihad Jeddah,Midfielder,Progressive passes,NA
Houssem Aouar,Al Ittihad Jeddah,Midfielder,Progressive carries,NA
Houssem Aouar,Al Ittihad Jeddah,Midfielder,Passes completed,NA
Houssem Aouar,Al Ittihad Jeddah,Midfielder,Passes attempted,NA
Houssem Aouar,Al Ittihad Jeddah,Midfielder,Key passes,NA
Houssem Aouar,Al Ittihad Jeddah,Midfielder,Through balls,NA
Houssem Aouar,Al Ittihad Jeddah,Midfielder,Switches,NA
Houssem Aouar,Al Ittihad Jeddah,Midfielder,Crosses,35
Houssem Aouar,Al Ittihad Jeddah,Midfielder,Corners,NA
Houssem Aouar,Al Ittihad Jeddah,Midfielder,Shot creating Actions,NA
Houssem Aouar,Al Ittihad Jeddah,Midfielder,Goal Creating Actions,NA
Houssem Aouar,Al Ittihad Jeddah,Midfielder,Tackles,19
Houssem Aouar,Al Ittihad Jeddah,Midfielder,Dribblers tackles,NA
Houssem Aouar,Al Ittihad Jeddah,Midfielder,Shots blocked,NA
Houssem Aouar,Al Ittihad Jeddah,Midfielder,Blocks,NA
Houssem Aouar,Al Ittihad Jeddah,Midfielder,Interceptions,13
Houssem Aouar,Al Ittihad Jeddah,Midfielder,Errors,NA
Houssem Aouar,Al Ittihad Jeddah,Midfielder,Touches,NA
Houssem Aouar,Al Ittihad Jeddah,Midfielder,Miscontrols,NA
Houssem Aouar,Al Ittihad Jeddah,Midfielder,Dispossessed,NA
Houssem Aouar,Al Ittihad Jeddah,Midfielder,Yellow Cards,5
Houssem Aouar,Al Ittihad Jeddah,Midfielder,Red Cards,0
Houssem Aouar,Al Ittihad Jeddah,Midfielder,Fouls committed,35
Houssem Aouar,Al Ittihad Jeddah,Midfielder,Aerials Won,NA
