Player Name,Club,Position,Metric,Value
Ilaix Moriba,Celta Vigo,Midfielder,Goals,1
Ilaix Moriba,Celta Vigo,Midfielder,Assists,1
Ilaix Moriba,Celta Vigo,Midfielder,NPG,1
Ilaix Moriba,Celta Vigo,Midfielder,XG,1.7
Ilaix Moriba,Celta Vigo,Midfielder,XA,1.5
Ilaix Moriba,Celta Vigo,Midfielder,Progressive passes,119
Ilaix Moriba,Celta Vigo,Midfielder,Progressive carries,34
Ilaix Moriba,Celta Vigo,Midfielder,Passes completed,843
Ilaix Moriba,Celta Vigo,Midfielder,Passes attempted,984
Ilaix Moriba,Celta Vigo,Midfielder,Key passes,20
Ilaix Moriba,Celta Vigo,Midfielder,Through balls,3
Ilaix Moriba,Celta Vigo,Midfielder,Switches,11
Ilaix Moriba,Celta Vigo,Midfielder,Crosses,6
Ilaix Moriba,Celta Vigo,Midfielder,Corners,0
Ilaix Moriba,Celta Vigo,Midfielder,Shot creating Actions,55
Ilaix Moriba,Celta Vigo,Midfielder,Goal Creating Actions,5
Ilaix Moriba,Celta Vigo,Midfielder,Tackles,68
Ilaix Moriba,Celta Vigo,Midfielder,Dribblers tackles,NA
Ilaix Moriba,Celta Vigo,Midfielder,Shots blocked,4
Ilaix Moriba,Celta Vigo,Midfielder,Blocks,29
Ilaix Moriba,Celta Vigo,Midfielder,Interceptions,14
Ilaix Moriba,Celta Vigo,Midfielder,Errors,1
Ilaix Moriba,Celta Vigo,Midfielder,Touches,1305
Ilaix Moriba,Celta Vigo,Midfielder,Miscontrols,51
Ilaix Moriba,Celta Vigo,Midfielder,Dispossessed,25
Ilaix Moriba,Celta Vigo,Midfielder,Yellow Cards,9
Ilaix Moriba,Celta Vigo,Midfielder,Red Cards,1
Ilaix Moriba,Celta Vigo,Midfielder,Fouls committed,32
Ilaix Moriba,Celta Vigo,Midfielder,Aerials Won,24
