Player Name,Club,Position,Metric,Value
Ismaël Bennacer,Dinamo Zagreb,Midfielder,Goals,0
Ismaël Bennacer,Dinamo Zagreb,Midfielder,Assists,0
Ismaël Bennacer,Dinamo Zagreb,Midfielder,NPG,0
Ismaël Bennacer,Dinamo Zagreb,Midfielder,XG,0.1
Ismaël Bennacer,Dinamo Zagreb,Midfielder,XA,0.1
Ismaël Bennacer,Dinamo Zagreb,Midfielder,Progressive passes,23
Ismaël Bennacer,Dinamo Zagreb,Midfielder,Progressive carries,8
Ismaël Bennacer,Dinamo Zagreb,Midfielder,Passes completed,197
Ismaël Bennacer,Dinamo Zagreb,Midfielder,Passes attempted,221
Ismaël Bennacer,Dinamo Zagreb,Midfielder,Key passes,4
Ismaël Bennacer,Dinamo Zagreb,Midfielder,Through balls,0
Ismaël Bennacer,Dinamo Zagreb,Midfielder,Switches,5
Ismaël Bennacer,Dinamo Zagreb,Midfielder,Crosses,6
Ismaël Bennacer,Dinamo Zagreb,Midfielder,Corners,3
Ismaël Bennacer,Dinamo Zagreb,Midfielder,Shot creating Actions,12
Ismaël Bennacer,Dinamo Zagreb,Midfielder,Goal Creating Actions,1
Ismaël Bennacer,Dinamo Zagreb,Midfielder,Tackles,5
Ismaël Bennacer,Dinamo Zagreb,Midfielder,Dribblers tackles,NA
Ismaël Bennacer,Dinamo Zagreb,Midfielder,Shots blocked,3
Ismaël Bennacer,Dinamo Zagreb,Midfielder,Blocks,5
Ismaël Bennacer,Dinamo Zagreb,Midfielder,Interceptions,3
Ismaël Bennacer,Dinamo Zagreb,Midfielder,Errors,0
Ismaël Bennacer,Dinamo Zagreb,Midfielder,Touches,249
Ismaël Bennacer,Dinamo Zagreb,Midfielder,Miscontrols,3
Ismaël Bennacer,Dinamo Zagreb,Midfielder,Dispossessed,3
Ismaël Bennacer,Dinamo Zagreb,Midfielder,Yellow Cards,2
Ismaël Bennacer,Dinamo Zagreb,Midfielder,Red Cards,0
Ismaël Bennacer,Dinamo Zagreb,Midfielder,Fouls committed,5
Ismaël Bennacer,Dinamo Zagreb,Midfielder,Aerials Won,3
