Player Name,Club,Position,Metric,Value
Jordan Henderson,Brentford,Midfielder,Goals,1
Jordan Henderson,Brentford,Midfielder,Assists,4
Jordan Henderson,Brentford,Midfielder,NPG,1
Jordan Henderson,Brentford,Midfielder,XG,1.1
Jordan Henderson,Brentford,Midfielder,XA,3.9
Jordan Henderson,Brentford,Midfielder,Progressive passes,181
Jordan Henderson,Brentford,Midfielder,Progressive carries,34
Jordan Henderson,Brentford,Midfielder,Passes completed,1468
Jordan Henderson,Brentford,Midfielder,Passes attempted,1724
Jordan Henderson,Brentford,Midfielder,Key passes,36
Jordan Henderson,Brentford,Midfielder,Through balls,10
Jordan Henderson,Brentford,Midfielder,Switches,5
Jordan Henderson,Brentford,Midfielder,Crosses,53
Jordan Henderson,Brentford,Midfielder,Corners,16
Jordan Henderson,Brentford,Midfielder,Shot creating Actions,61
Jordan Henderson,Brentford,Midfielder,Goal Creating Actions,10
Jordan Henderson,Brentford,Midfielder,Tackles,32
Jordan Henderson,Brentford,Midfielder,Dribblers tackles,NA
Jordan Henderson,Brentford,Midfielder,Shots blocked,8
Jordan Henderson,Brentford,Midfielder,Blocks,28
Jordan Henderson,Brentford,Midfielder,Interceptions,25
Jordan Henderson,Brentford,Midfielder,Errors,1
Jordan Henderson,Brentford,Midfielder,Touches,1897
Jordan Henderson,Brentford,Midfielder,Miscontrols,15
Jordan Henderson,Brentford,Midfielder,Dispossessed,6
Jordan Henderson,Brentford,Midfielder,Yellow Cards,6
Jordan Henderson,Brentford,Midfielder,Red Cards,0
Jordan Henderson,Brentford,Midfielder,Fouls committed,12
Jordan Henderson,Brentford,Midfielder,Aerials Won,20
