Player Name,Club,Position,Metric,Value
Jude Bellingham,Real Madrid,Midfielder,Goals,9
Jude Bellingham,Real Madrid,Midfielder,Assists,8
Jude Bellingham,Real Madrid,Midfielder,NPG,8
Jude Bellingham,Real Madrid,Midfielder,XG,11.4
Jude Bellingham,Real Madrid,Midfielder,XA,3.9
Jude Bellingham,Real Madrid,Midfielder,Progressive passes,199
Jude Bellingham,Real Madrid,Midfielder,Progressive carries,74
Jude Bellingham,Real Madrid,Midfielder,Passes completed,1333
Jude Bellingham,Real Madrid,Midfielder,Passes attempted,1548
Jude Bellingham,Real Madrid,Midfielder,Key passes,42
Jude Bellingham,Real Madrid,Midfielder,Through balls,22
Jude Bellingham,Real Madrid,Midfielder,Switches,19
Jude Bellingham,Real Madrid,Midfielder,Crosses,18
Jude Bellingham,Real Madrid,Midfielder,Corners,1
Jude Bellingham,Real Madrid,Midfielder,Shot creating Actions,105
Jude Bellingham,Real Madrid,Midfielder,Goal Creating Actions,13
Jude Bellingham,Real Madrid,Midfielder,Tackles,61
Jude Bellingham,Real Madrid,Midfielder,Dribblers tackles,NA
Jude Bellingham,Real Madrid,Midfielder,Shots blocked,2
Jude Bellingham,Real Madrid,Midfielder,Blocks,37
Jude Bellingham,Real Madrid,Midfielder,Interceptions,28
Jude Bellingham,Real Madrid,Midfielder,Errors,1
Jude Bellingham,Real Madrid,Midfielder,Touches,1881
Jude Bellingham,Real Madrid,Midfielder,Miscontrols,54
Jude Bellingham,Real Madrid,Midfielder,Dispossessed,43
Jude Bellingham,Real Madrid,Midfielder,Yellow Cards,5
Jude Bellingham,Real Madrid,Midfielder,Red Cards,1
Jude Bellingham,Real Madrid,Midfielder,Fouls committed,33
Jude Bellingham,Real Madrid,Midfielder,Aerials Won,30
