Player Name,Club,Position,Metric,Value
Leandro Paredes,Boca Juniors,Midfielder,Goals,3
Leandro Paredes,Boca Juniors,Midfielder,Assists,1
Leandro Paredes,Boca Juniors,Midfielder,NPG,1
Leandro Paredes,Boca Juniors,Midfielder,XG,2.3
Leandro Paredes,Boca Juniors,Midfielder,XA,1.5
Leandro Paredes,Boca Juniors,Midfielder,Progressive passes,106
Leandro Paredes,Boca Juniors,Midfielder,Progressive carries,17
Leandro Paredes,Boca Juniors,Midfielder,Passes completed,1105
Leandro Paredes,Boca Juniors,Midfielder,Passes attempted,1256
Leandro Paredes,Boca Juniors,Midfielder,Key passes,21
Leandro Paredes,Boca Juniors,Midfielder,Through balls,6
Leandro Paredes,Boca Juniors,Midfielder,Switches,11
Leandro Paredes,Boca Juniors,Midfielder,Crosses,57
Leandro Paredes,Boca Juniors,Midfielder,Corners,37
Leandro Paredes,Boca Juniors,Midfielder,Shot creating Actions,48
Leandro Paredes,Boca Juniors,Midfielder,Goal Creating Actions,2
Leandro Paredes,Boca Juniors,Midfielder,Tackles,26
Leandro Paredes,Boca Juniors,Midfielder,Dribblers tackles,NA
Leandro Paredes,Boca Juniors,Midfielder,Shots blocked,5
Leandro Paredes,Boca Juniors,Midfielder,Blocks,14
Leandro Paredes,Boca Juniors,Midfielder,Interceptions,19
Leandro Paredes,Boca Juniors,Midfielder,Errors,2
Leandro Paredes,Boca Juniors,Midfielder,Touches,1381
Leandro Paredes,Boca Juniors,Midfielder,Miscontrols,6
Leandro Paredes,Boca Juniors,Midfielder,Dispossessed,1
Leandro Paredes,Boca Juniors,Midfielder,Yellow Cards,4
Leandro Paredes,Boca Juniors,Midfielder,Red Cards,0
Leandro Paredes,Boca Juniors,Midfielder,Fouls committed,15
Leandro Paredes,Boca Juniors,Midfielder,Aerials Won,9
