Player Name,Club,Position,Metric,Value
Leon Goretzka,Bayern Munich,Midfielder,Goals,4
Leon Goretzka,Bayern Munich,Midfielder,Assists,1
Leon Goretzka,Bayern Munich,Midfielder,NPG,4
Leon Goretzka,Bayern Munich,Midfielder,XG,2.8
Leon Goretzka,Bayern Munich,Midfielder,XA,1.7
Leon Goretzka,Bayern Munich,Midfielder,Progressive passes,127
Leon Goretzka,Bayern Munich,Midfielder,Progressive carries,35
Leon Goretzka,Bayern Munich,Midfielder,Passes completed,1101
Leon Goretzka,Bayern Munich,Midfielder,Passes attempted,1225
Leon Goretzka,Bayern Munich,Midfielder,Key passes,12
Leon Goretzka,Bayern Munich,Midfielder,Through balls,5
Leon Goretzka,Bayern Munich,Midfielder,Switches,8
Leon Goretzka,Bayern Munich,Midfielder,Crosses,5
Leon Goretzka,Bayern Munich,Midfielder,Corners,0
Leon Goretzka,Bayern Munich,Midfielder,Shot creating Actions,28
Leon Goretzka,Bayern Munich,Midfielder,Goal Creating Actions,2
Leon Goretzka,Bayern Munich,Midfielder,Tackles,21
Leon Goretzka,Bayern Munich,Midfielder,Dribblers tackles,NA
Leon Goretzka,Bayern Munich,Midfielder,Shots blocked,7
Leon Goretzka,Bayern Munich,Midfielder,Blocks,27
Leon Goretzka,Bayern Munich,Midfielder,Interceptions,20
Leon Goretzka,Bayern Munich,Midfielder,Errors,1
Leon Goretzka,Bayern Munich,Midfielder,Touches,1373
Leon Goretzka,Bayern Munich,Midfielder,Miscontrols,4
Leon Goretzka,Bayern Munich,Midfielder,Dispossessed,4
Leon Goretzka,Bayern Munich,Midfielder,Yellow Cards,2
Leon Goretzka,Bayern Munich,Midfielder,Red Cards,0
Leon Goretzka,Bayern Munich,Midfielder,Fouls committed,12
Leon Goretzka,Bayern Munich,Midfielder,Aerials Won,31
