Player Name,Club,Position,Metric,Value
Martin Ødegaard,Arsenal,Midfielder,Goals,3
Martin Ødegaard,Arsenal,Midfielder,Assists,8
Martin Ødegaard,Arsenal,Midfielder,NPG,2
Martin Ødegaard,Arsenal,Midfielder,XG,4.8
Martin Ødegaard,Arsenal,Midfielder,XA,5.4
Martin Ødegaard,Arsenal,Midfielder,Progressive passes,258
Martin Ødegaard,Arsenal,Midfielder,Progressive carries,92
Martin Ødegaard,Arsenal,Midfielder,Passes completed,1237
Martin Ødegaard,Arsenal,Midfielder,Passes attempted,1499
Martin Ødegaard,Arsenal,Midfielder,Key passes,63
Martin Ødegaard,Arsenal,Midfielder,Through balls,25
Martin Ødegaard,Arsenal,Midfielder,Switches,3
Martin Ødegaard,Arsenal,Midfielder,Crosses,86
Martin Ødegaard,Arsenal,Midfielder,Corners,37
Martin Ødegaard,Arsenal,Midfielder,Shot creating Actions,124
Martin Ødegaard,Arsenal,Midfielder,Goal Creating Actions,18
Martin Ødegaard,Arsenal,Midfielder,Tackles,19
Martin Ødegaard,Arsenal,Midfielder,Dribblers tackles,NA
Martin Ødegaard,Arsenal,Midfielder,Shots blocked,0
Martin Ødegaard,Arsenal,Midfielder,Blocks,5
Martin Ødegaard,Arsenal,Midfielder,Interceptions,6
Martin Ødegaard,Arsenal,Midfielder,Errors,1
Martin Ødegaard,Arsenal,Midfielder,Touches,1694
Martin Ødegaard,Arsenal,Midfielder,Miscontrols,38
Martin Ødegaard,Arsenal,Midfielder,Dispossessed,40
Martin Ødegaard,Arsenal,Midfielder,Yellow Cards,4
Martin Ødegaard,Arsenal,Midfielder,Red Cards,0
Martin Ødegaard,Arsenal,Midfielder,Fouls committed,12
Martin Ødegaard,Arsenal,Midfielder,Aerials Won,8
