Player Name,Club,Position,Metric,Value
Mason Mount,Manchester United,Midfielder,Goals,1
Mason Mount,Manchester United,Midfielder,Assists,0
Mason Mount,Manchester United,Midfielder,NPG,1
Mason Mount,Manchester United,Midfielder,XG,3.2
Mason Mount,Manchester United,Midfielder,XA,0.6
Mason Mount,Manchester United,Midfielder,Progressive passes,33
Mason Mount,Manchester United,Midfielder,Progressive carries,15
Mason Mount,Manchester United,Midfielder,Passes completed,207
Mason Mount,Manchester United,Midfielder,Passes attempted,253
Mason Mount,Manchester United,Midfielder,Key passes,8
Mason Mount,Manchester United,Midfielder,Through balls,2
Mason Mount,Manchester United,Midfielder,Switches,2
Mason Mount,Manchester United,Midfielder,Crosses,13
Mason Mount,Manchester United,Midfielder,Corners,4
Mason Mount,Manchester United,Midfielder,Shot creating Actions,22
Mason Mount,Manchester United,Midfielder,Goal Creating Actions,0
Mason Mount,Manchester United,Midfielder,Tackles,15
Mason Mount,Manchester United,Midfielder,Dribblers tackles,NA
Mason Mount,Manchester United,Midfielder,Shots blocked,1
Mason Mount,Manchester United,Midfielder,Blocks,11
Mason Mount,Manchester United,Midfielder,Interceptions,4
Mason Mount,Manchester United,Midfielder,Errors,0
Mason Mount,Manchester United,Midfielder,Touches,339
Mason Mount,Manchester United,Midfielder,Miscontrols,16
Mason Mount,Manchester United,Midfielder,Dispossessed,9
Mason Mount,Manchester United,Midfielder,Yellow Cards,3
Mason Mount,Manchester United,Midfielder,Red Cards,0
Mason Mount,Manchester United,Midfielder,Fouls committed,16
Mason Mount,Manchester United,Midfielder,Aerials Won,4
