Player Name,Club,Position,Metric,Value
Mattéo Guendouzi,Lazio,Midfielder,Goals,1
Mattéo Guendouzi,Lazio,Midfielder,Assists,3
Mattéo Guendouzi,Lazio,Midfielder,NPG,1
Mattéo Guendouzi,Lazio,Midfielder,XG,1.4
Mattéo Guendouzi,Lazio,Midfielder,XA,3.2
Mattéo Guendouzi,Lazio,Midfielder,Progressive passes,316
Mattéo Guendouzi,Lazio,Midfielder,Progressive carries,89
Mattéo Guendouzi,Lazio,Midfielder,Passes completed,1961
Mattéo Guendouzi,Lazio,Midfielder,Passes attempted,2183
Mattéo Guendouzi,Lazio,Midfielder,Key passes,43
Mattéo Guendouzi,Lazio,Midfielder,Through balls,6
Mattéo Guendouzi,Lazio,Midfielder,Switches,25
Mattéo Guendouzi,Lazio,Midfielder,Crosses,21
Mattéo Guendouzi,Lazio,Midfielder,Corners,9
Mattéo Guendouzi,Lazio,Midfielder,Shot creating Actions,118
Mattéo Guendouzi,Lazio,Midfielder,Goal Creating Actions,7
Mattéo Guendouzi,Lazio,Midfielder,Tackles,37
Mattéo Guendouzi,Lazio,Midfielder,Dribblers tackles,NA
Mattéo Guendouzi,Lazio,Midfielder,Shots blocked,9
Mattéo Guendouzi,Lazio,Midfielder,Blocks,34
Mattéo Guendouzi,Lazio,Midfielder,Interceptions,32
Mattéo Guendouzi,Lazio,Midfielder,Errors,2
Mattéo Guendouzi,Lazio,Midfielder,Touches,2437
Mattéo Guendouzi,Lazio,Midfielder,Miscontrols,28
Mattéo Guendouzi,Lazio,Midfielder,Dispossessed,18
Mattéo Guendouzi,Lazio,Midfielder,Yellow Cards,7
Mattéo Guendouzi,Lazio,Midfielder,Red Cards,0
Mattéo Guendouzi,Lazio,Midfielder,Fouls committed,28
Mattéo Guendouzi,Lazio,Midfielder,Aerials Won,18
