Player Name,Club,Position,Metric,Value
Nicolò Barella,Internazionale,Midfielder,Goals,3
Nicolò Barella,Internazionale,Midfielder,Assists,6
Nicolò Barella,Internazionale,Midfielder,NPG,3
Nicolò Barella,Internazionale,Midfielder,XG,2.2
Nicolò Barella,Internazionale,Midfielder,XA,4.5
Nicolò Barella,Internazionale,Midfielder,Progressive passes,235
Nicolò Barella,Internazionale,Midfielder,Progressive carries,63
Nicolò Barella,Internazionale,Midfielder,Passes completed,1484
Nicolò Barella,Internazionale,Midfielder,Passes attempted,1808
Nicolò Barella,Internazionale,Midfielder,Key passes,55
Nicolò Barella,Internazionale,Midfielder,Through balls,18
Nicolò Barella,Internazionale,Midfielder,Switches,23
Nicolò Barella,Internazionale,Midfielder,Crosses,68
Nicolò Barella,Internazionale,Midfielder,Corners,10
Nicolò Barella,Internazionale,Midfielder,Shot creating Actions,112
Nicolò Barella,Internazionale,Midfielder,Goal Creating Actions,15
Nicolò Barella,Internazionale,Midfielder,Tackles,50
Nicolò Barella,Internazionale,Midfielder,Dribblers tackles,NA
Nicolò Barella,Internazionale,Midfielder,Shots blocked,3
Nicolò Barella,Internazionale,Midfielder,Blocks,26
Nicolò Barella,Internazionale,Midfielder,Interceptions,12
Nicolò Barella,Internazionale,Midfielder,Errors,1
Nicolò Barella,Internazionale,Midfielder,Touches,2064
Nicolò Barella,Internazionale,Midfielder,Miscontrols,29
Nicolò Barella,Internazionale,Midfielder,Dispossessed,42
Nicolò Barella,Internazionale,Midfielder,Yellow Cards,4
Nicolò Barella,Internazionale,Midfielder,Red Cards,0
Nicolò Barella,Internazionale,Midfielder,Fouls committed,25
Nicolò Barella,Internazionale,Midfielder,Aerials Won,26
