Player Name,Club,Position,Metric,Value
Nicolò Rovella,Lazio,Midfielder,Goals,0
Nicolò Rovella,Lazio,Midfielder,Assists,3
Nicolò Rovella,Lazio,Midfielder,NPG,0
Nicolò Rovella,Lazio,Midfielder,XG,1.5
Nicolò Rovella,Lazio,Midfielder,XA,2.2
Nicolò Rovella,Lazio,Midfielder,Progressive passes,159
Nicolò Rovella,Lazio,Midfielder,Progressive carries,45
Nicolò Rovella,Lazio,Midfielder,Passes completed,1862
Nicolò Rovella,Lazio,Midfielder,Passes attempted,2078
Nicolò Rovella,Lazio,Midfielder,Key passes,31
Nicolò Rovella,Lazio,Midfielder,Through balls,9
Nicolò Rovella,Lazio,Midfielder,Switches,16
Nicolò Rovella,Lazio,Midfielder,Crosses,37
Nicolò Rovella,Lazio,Midfielder,Corners,16
Nicolò Rovella,Lazio,Midfielder,Shot creating Actions,71
Nicolò Rovella,Lazio,Midfielder,Goal Creating Actions,3
Nicolò Rovella,Lazio,Midfielder,Tackles,84
Nicolò Rovella,Lazio,Midfielder,Dribblers tackles,NA
Nicolò Rovella,Lazio,Midfielder,Shots blocked,4
Nicolò Rovella,Lazio,Midfielder,Blocks,19
Nicolò Rovella,Lazio,Midfielder,Interceptions,47
Nicolò Rovella,Lazio,Midfielder,Errors,3
Nicolò Rovella,Lazio,Midfielder,Touches,2354
Nicolò Rovella,Lazio,Midfielder,Miscontrols,22
Nicolò Rovella,Lazio,Midfielder,Dispossessed,14
Nicolò Rovella,Lazio,Midfielder,Yellow Cards,13
Nicolò Rovella,Lazio,Midfielder,Red Cards,0
Nicolò Rovella,Lazio,Midfielder,Fouls committed,43
Nicolò Rovella,Lazio,Midfielder,Aerials Won,11
