Player Name,Club,Position,Metric,Value
Nicolò Zaniolo,Udinese,Midfielder,Goals,0
Nicolò Zaniolo,Udinese,Midfielder,Assists,0
Nicolò Zaniolo,Udinese,Midfielder,NPG,0
Nicolò Zaniolo,Udinese,Midfielder,XG,0.7
Nicolò Zaniolo,Udinese,Midfielder,XA,0.2
Nicolò Zaniolo,Udinese,Midfielder,Progressive passes,5
Nicolò Zaniolo,Udinese,Midfielder,Progressive carries,8
Nicolò Zaniolo,Udinese,Midfielder,Passes completed,52
Nicolò Zaniolo,Udinese,Midfielder,Passes attempted,74
Nicolò Zaniolo,Udinese,Midfielder,Key passes,5
Nicolò Zaniolo,Udinese,Midfielder,Through balls,0
Nicolò Zaniolo,Udinese,Midfielder,Switches,1
Nicolò Zaniolo,Udinese,Midfielder,Crosses,4
Nicolò Zaniolo,Udinese,Midfielder,Corners,1
Nicolò Zaniolo,Udinese,Midfielder,Shot creating Actions,10
Nicolò Zaniolo,Udinese,Midfielder,Goal Creating Actions,0
Nicolò Zaniolo,Udinese,Midfielder,Tackles,3
Nicolò Zaniolo,Udinese,Midfielder,Dribblers tackles,NA
Nicolò Zaniolo,Udinese,Midfielder,Shots blocked,1
Nicolò Zaniolo,Udinese,Midfielder,Blocks,2
Nicolò Zaniolo,Udinese,Midfielder,Interceptions,0
Nicolò Zaniolo,Udinese,Midfielder,Errors,0
Nicolò Zaniolo,Udinese,Midfielder,Touches,131
Nicolò Zaniolo,Udinese,Midfielder,Miscontrols,18
Nicolò Zaniolo,Udinese,Midfielder,Dispossessed,10
Nicolò Zaniolo,Udinese,Midfielder,Yellow Cards,2
Nicolò Zaniolo,Udinese,Midfielder,Red Cards,1
Nicolò Zaniolo,Udinese,Midfielder,Fouls committed,11
Nicolò Zaniolo,Udinese,Midfielder,Aerials Won,3
