Player Name,Club,Position,Metric,Value
Pedri,Barcelona,Midfielder,Goals,4
Pedri,Barcelona,Midfielder,Assists,5
Pedri,Barcelona,Midfielder,NPG,4
Pedri,Barcelona,Midfielder,XG,2.2
Pedri,Barcelona,Midfielder,XA,7.4
Pedri,Barcelona,Midfielder,Progressive passes,360
Pedri,Barcelona,Midfielder,Progressive carries,92
Pedri,Barcelona,Midfielder,Passes completed,2404
Pedri,Barcelona,Midfielder,Passes attempted,2749
Pedri,Barcelona,Midfielder,Key passes,70
Pedri,Barcelona,Midfielder,Through balls,27
Pedri,Barcelona,Midfielder,Switches,16
Pedri,Barcelona,Midfielder,Crosses,58
Pedri,Barcelona,Midfielder,Corners,41
Pedri,Barcelona,Midfielder,Shot creating Actions,165
Pedri,Barcelona,Midfielder,Goal Creating Actions,17
Pedri,Barcelona,Midfielder,Tackles,61
Pedri,Barcelona,Midfielder,Dribblers tackles,NA
Pedri,Barcelona,Midfielder,Shots blocked,3
Pedri,Barcelona,Midfielder,Blocks,45
Pedri,Barcelona,Midfielder,Interceptions,26
Pedri,Barcelona,Midfielder,Errors,1
Pedri,Barcelona,Midfielder,Touches,3060
Pedri,Barcelona,Midfielder,Miscontrols,48
Pedri,Barcelona,Midfielder,Dispossessed,35
Pedri,Barcelona,Midfielder,Yellow Cards,3
Pedri,Barcelona,Midfielder,Red Cards,0
Pedri,Barcelona,Midfielder,Fouls committed,10
Pedri,Barcelona,Midfielder,Aerials Won,7
