Player Name,Club,Position,Metric,Value
Piotr Zieliński,Internazionale,Midfielder,Goals,2
Piotr Zieliński,Internazionale,Midfielder,Assists,2
Piotr Zieliński,Internazionale,Midfielder,NPG,0
Piotr Zieliński,Internazionale,Midfielder,XG,2.6
Piotr Zieliński,Internazionale,Midfielder,XA,0.9
Piotr Zieliński,Internazionale,Midfielder,Progressive passes,65
Piotr Zieliński,Internazionale,Midfielder,Progressive carries,26
Piotr Zieliński,Internazionale,Midfielder,Passes completed,636
Piotr Zieliński,Internazionale,Midfielder,Passes attempted,711
Piotr Zieliński,Internazionale,Midfielder,Key passes,14
Piotr Zieliński,Internazionale,Midfielder,Through balls,2
Piotr Zieliński,Internazionale,Midfielder,Switches,4
Piotr Zieliński,Internazionale,Midfielder,Crosses,28
Piotr Zieliński,Internazionale,Midfielder,Corners,16
Piotr Zieliński,Internazionale,Midfielder,Shot creating Actions,40
Piotr Zieliński,Internazionale,Midfielder,Goal Creating Actions,7
Piotr Zieliński,Internazionale,Midfielder,Tackles,14
Piotr Zieliński,Internazionale,Midfielder,Dribblers tackles,NA
Piotr Zieliński,Internazionale,Midfielder,Shots blocked,5
Piotr Zieliński,Internazionale,Midfielder,Blocks,10
Piotr Zieliński,Internazionale,Midfielder,Interceptions,6
Piotr Zieliński,Internazionale,Midfielder,Errors,1
Piotr Zieliński,Internazionale,Midfielder,Touches,803
Piotr Zieliński,Internazionale,Midfielder,Miscontrols,8
Piotr Zieliński,Internazionale,Midfielder,Dispossessed,6
Piotr Zieliński,Internazionale,Midfielder,Yellow Cards,0
Piotr Zieliński,Internazionale,Midfielder,Red Cards,0
Piotr Zieliński,Internazionale,Midfielder,Fouls committed,9
Piotr Zieliński,Internazionale,Midfielder,Aerials Won,9
