Player Name,Club,Position,Metric,Value
Rodrigo Bentancur,Tottenham Hotspur,Midfielder,Goals,2
Rodrigo Bentancur,Tottenham Hotspur,Midfielder,Assists,0
Rodrigo Bentancur,Tottenham Hotspur,Midfielder,NPG,2
Rodrigo Bentancur,Tottenham Hotspur,Midfielder,XG,1.3
Rodrigo Bentancur,Tottenham Hotspur,Midfielder,XA,0.4
Rodrigo Bentancur,Tottenham Hotspur,Midfielder,Progressive passes,100
Rodrigo Bentancur,Tottenham Hotspur,Midfielder,Progressive carries,28
Rodrigo Bentancur,Tottenham Hotspur,Midfielder,Passes completed,946
Rodrigo Bentancur,Tottenham Hotspur,Midfielder,Passes attempted,1076
Rodrigo Bentancur,Tottenham Hotspur,Midfielder,Key passes,10
Rodrigo Bentancur,Tottenham Hotspur,Midfielder,Through balls,4
Rodrigo Bentancur,Tottenham Hotspur,Midfielder,Switches,2
Rodrigo Bentancur,Tottenham Hotspur,Midfielder,Crosses,4
Rodrigo Bentancur,Tottenham Hotspur,Midfielder,Corners,0
Rodrigo Bentancur,Tottenham Hotspur,Midfielder,Shot creating Actions,45
Rodrigo Bentancur,Tottenham Hotspur,Midfielder,Goal Creating Actions,3
Rodrigo Bentancur,Tottenham Hotspur,Midfielder,Tackles,40
Rodrigo Bentancur,Tottenham Hotspur,Midfielder,Dribblers tackles,NA
Rodrigo Bentancur,Tottenham Hotspur,Midfielder,Shots blocked,8
Rodrigo Bentancur,Tottenham Hotspur,Midfielder,Blocks,25
Rodrigo Bentancur,Tottenham Hotspur,Midfielder,Interceptions,40
Rodrigo Bentancur,Tottenham Hotspur,Midfielder,Errors,1
Rodrigo Bentancur,Tottenham Hotspur,Midfielder,Touches,1302
Rodrigo Bentancur,Tottenham Hotspur,Midfielder,Miscontrols,19
Rodrigo Bentancur,Tottenham Hotspur,Midfielder,Dispossessed,20
Rodrigo Bentancur,Tottenham Hotspur,Midfielder,Yellow Cards,9
Rodrigo Bentancur,Tottenham Hotspur,Midfielder,Red Cards,0
Rodrigo Bentancur,Tottenham Hotspur,Midfielder,Fouls committed,34
Rodrigo Bentancur,Tottenham Hotspur,Midfielder,Aerials Won,36
