Player Name,Club,Position,Metric,Value
Ryan Gravenberch,Liverpool,Midfielder,Goals,0
Ryan Gravenberch,Liverpool,Midfielder,Assists,4
Ryan Gravenberch,Liverpool,Midfielder,NPG,0
Ryan Gravenberch,Liverpool,Midfielder,XG,1.1
Ryan Gravenberch,Liverpool,Midfielder,XA,3.1
Ryan Gravenberch,Liverpool,Midfielder,Progressive passes,181
Ryan Gravenberch,Liverpool,Midfielder,Progressive carries,70
Ryan Gravenberch,Liverpool,Midfielder,Passes completed,1718
Ryan Gravenberch,Liverpool,Midfielder,Passes attempted,1927
Ryan Gravenberch,Liverpool,Midfielder,Key passes,26
Ryan Gravenberch,Liverpool,Midfielder,Through balls,8
Ryan Gravenberch,Liverpool,Midfielder,Switches,7
Ryan Gravenberch,Liverpool,Midfielder,Crosses,7
Ryan Gravenberch,Liverpool,Midfielder,Corners,0
Ryan Gravenberch,Liverpool,Midfielder,Shot creating Actions,68
Ryan Gravenberch,Liverpool,Midfielder,Goal Creating Actions,6
Ryan Gravenberch,Liverpool,Midfielder,Tackles,69
Ryan Gravenberch,Liverpool,Midfielder,Dribblers tackles,NA
Ryan Gravenberch,Liverpool,Midfielder,Shots blocked,10
Ryan Gravenberch,Liverpool,Midfielder,Blocks,35
Ryan Gravenberch,Liverpool,Midfielder,Interceptions,60
Ryan Gravenberch,Liverpool,Midfielder,Errors,2
Ryan Gravenberch,Liverpool,Midfielder,Touches,2343
Ryan Gravenberch,Liverpool,Midfielder,Miscontrols,55
Ryan Gravenberch,Liverpool,Midfielder,Dispossessed,26
Ryan Gravenberch,Liverpool,Midfielder,Yellow Cards,6
Ryan Gravenberch,Liverpool,Midfielder,Red Cards,1
Ryan Gravenberch,Liverpool,Midfielder,Fouls committed,47
Ryan Gravenberch,Liverpool,Midfielder,Aerials Won,26
