Player Name,Club,Position,Metric,Value
Sergej Milinković-Savić,Al-Hilal,Midfielder,Goals,12
Sergej Milinković-Savić,Al-Hilal,Midfielder,Assists,6
Sergej Milinković-Savić,Al-Hilal,Midfielder,NPG,12
Sergej Milinković-Savić,Al-Hilal,Midfielder,XG,NA
Sergej Milinković-Savić,Al-Hilal,Midfielder,XA,NA
Sergej Milinković-Savić,Al-Hilal,Midfielder,Progressive passes,NA
Sergej Milinković-Savić,Al-Hilal,Midfielder,Progressive carries,NA
Sergej Milinković-Savić,Al-Hilal,Midfielder,Passes completed,NA
Sergej Milinković-Savić,Al-Hilal,Midfielder,Passes attempted,NA
Sergej Milinković-Savić,Al-Hilal,Midfielder,Key passes,NA
Sergej Milinković-Savić,Al-Hilal,Midfielder,Through balls,NA
Sergej Milinković-Savić,Al-Hilal,Midfielder,Switches,NA
Sergej Milinković-Savić,Al-Hilal,Midfielder,Crosses,40
Sergej Milinković-Savić,Al-Hilal,Midfielder,Corners,NA
Sergej Milinković-Savić,Al-Hilal,Midfielder,Shot creating Actions,NA
Sergej Milinković-Savić,Al-Hilal,Midfielder,Goal Creating Actions,NA
Sergej Milinković-Savić,Al-Hilal,Midfielder,Tackles,28
Sergej Milinković-Savić,Al-Hilal,Midfielder,Dribblers tackles,NA
Sergej Milinković-Savić,Al-Hilal,Midfielder,Shots blocked,NA
Sergej Milinković-Savić,Al-Hilal,Midfielder,Blocks,NA
Sergej Milinković-Savić,Al-Hilal,Midfielder,Interceptions,22
Sergej Milinković-Savić,Al-Hilal,Midfielder,Errors,NA
Sergej Milinković-Savić,Al-Hilal,Midfielder,Touches,NA
Sergej Milinković-Savić,Al-Hilal,Midfielder,Miscontrols,NA
Sergej Milinković-Savić,Al-Hilal,Midfielder,Dispossessed,NA
Sergej Milinković-Savić,Al-Hilal,Midfielder,Yellow Cards,3
Sergej Milinković-Savić,Al-Hilal,Midfielder,Red Cards,0
Sergej Milinković-Savić,Al-Hilal,Midfielder,Fouls committed,40
Sergej Milinković-Savić,Al-Hilal,Midfielder,Aerials Won,NA
