Player Name,Club,Position,Metric,Value
Weston McKennie,Juventus,Midfielder,Goals,2
Weston McKennie,Juventus,Midfielder,Assists,4
Weston McKennie,Juventus,Midfielder,NPG,2
Weston McKennie,Juventus,Midfielder,XG,2.9
Weston McKennie,Juventus,Midfielder,XA,3.5
Weston McKennie,Juventus,Midfielder,Progressive passes,101
Weston McKennie,Juventus,Midfielder,Progressive carries,28
Weston McKennie,Juventus,Midfielder,Passes completed,928
Weston McKennie,Juventus,Midfielder,Passes attempted,1117
Weston McKennie,Juventus,Midfielder,Key passes,32
Weston McKennie,Juventus,Midfielder,Through balls,6
Weston McKennie,Juventus,Midfielder,Switches,4
Weston McKennie,Juventus,Midfielder,Crosses,19
Weston McKennie,Juventus,Midfielder,Corners,0
Weston McKennie,Juventus,Midfielder,Shot creating Actions,60
Weston McKennie,Juventus,Midfielder,Goal Creating Actions,9
Weston McKennie,Juventus,Midfielder,Tackles,33
Weston McKennie,Juventus,Midfielder,Dribblers tackles,NA
Weston McKennie,Juventus,Midfielder,Shots blocked,8
Weston McKennie,Juventus,Midfielder,Blocks,28
Weston McKennie,Juventus,Midfielder,Interceptions,14
Weston McKennie,Juventus,Midfielder,Errors,0
Weston McKennie,Juventus,Midfielder,Touches,1350
Weston McKennie,Juventus,Midfielder,Miscontrols,41
Weston McKennie,Juventus,Midfielder,Dispossessed,26
Weston McKennie,Juventus,Midfielder,Yellow Cards,3
Weston McKennie,Juventus,Midfielder,Red Cards,0
Weston McKennie,Juventus,Midfielder,Fouls committed,32
Weston McKennie,Juventus,Midfielder,Aerials Won,35
