Player Name,Club,Position,Metric,Value
Xavi Simons,Tottenham Hotspur,Midfielder,Goals,10
Xavi Simons,Tottenham Hotspur,Midfielder,Assists,6
Xavi Simons,Tottenham Hotspur,Midfielder,NPG,10
Xavi Simons,Tottenham Hotspur,Midfielder,XG,5.1
Xavi Simons,Tottenham Hotspur,Midfielder,XA,6.3
Xavi Simons,Tottenham Hotspur,Midfielder,Progressive passes,140
Xavi Simons,Tottenham Hotspur,Midfielder,Progressive carries,85
Xavi Simons,Tottenham Hotspur,Midfielder,Passes completed,944
Xavi Simons,Tottenham Hotspur,Midfielder,Passes attempted,1201
Xavi Simons,Tottenham Hotspur,Midfielder,Key passes,51
Xavi Simons,Tottenham Hotspur,Midfielder,Through balls,23
Xavi Simons,Tottenham Hotspur,Midfielder,Switches,4
Xavi Simons,Tottenham Hotspur,Midfielder,Crosses,79
Xavi Simons,Tottenham Hotspur,Midfielder,Corners,58
Xavi Simons,Tottenham Hotspur,Midfielder,Shot creating Actions,108
Xavi Simons,Tottenham Hotspur,Midfielder,Goal Creating Actions,12
Xavi Simons,Tottenham Hotspur,Midfielder,Tackles,28
Xavi Simons,Tottenham Hotspur,Midfielder,Dribblers tackles,NA
Xavi Simons,Tottenham Hotspur,Midfielder,Shots blocked,3
Xavi Simons,Tottenham Hotspur,Midfielder,Blocks,19
Xavi Simons,Tottenham Hotspur,Midfielder,Interceptions,12
Xavi Simons,Tottenham Hotspur,Midfielder,Errors,1
Xavi Simons,Tottenham Hotspur,Midfielder,Touches,1557
Xavi Simons,Tottenham Hotspur,Midfielder,Miscontrols,73
Xavi Simons,Tottenham Hotspur,Midfielder,Dispossessed,55
Xavi Simons,Tottenham Hotspur,Midfielder,Yellow Cards,5
Xavi Simons,Tottenham Hotspur,Midfielder,Red Cards,0
Xavi Simons,Tottenham Hotspur,Midfielder,Fouls committed,24
Xavi Simons,Tottenham Hotspur,Midfielder,Aerials Won,19
