Player Name,Club,Position,Metric,Value
Youri Tielemans,Aston Villa,Midfielder,Goals,3
Youri Tielemans,Aston Villa,Midfielder,Assists,7
Youri Tielemans,Aston Villa,Midfielder,NPG,3
Youri Tielemans,Aston Villa,Midfielder,XG,3.3
Youri Tielemans,Aston Villa,Midfielder,XA,7.0
Youri Tielemans,Aston Villa,Midfielder,Progressive passes,235
Youri Tielemans,Aston Villa,Midfielder,Progressive carries,39
Youri Tielemans,Aston Villa,Midfielder,Passes completed,1694
Youri Tielemans,Aston Villa,Midfielder,Passes attempted,2061
Youri Tielemans,Aston Villa,Midfielder,Key passes,60
Youri Tielemans,Aston Villa,Midfielder,Through balls,24
Youri Tielemans,Aston Villa,Midfielder,Switches,8
Youri Tielemans,Aston Villa,Midfielder,Crosses,119
Youri Tielemans,Aston Villa,Midfielder,Corners,85
Youri Tielemans,Aston Villa,Midfielder,Shot creating Actions,122
Youri Tielemans,Aston Villa,Midfielder,Goal Creating Actions,12
Youri Tielemans,Aston Villa,Midfielder,Tackles,84
Youri Tielemans,Aston Villa,Midfielder,Dribblers tackles,NA
Youri Tielemans,Aston Villa,Midfielder,Shots blocked,16
Youri Tielemans,Aston Villa,Midfielder,Blocks,38
Youri Tielemans,Aston Villa,Midfielder,Interceptions,23
Youri Tielemans,Aston Villa,Midfielder,Errors,4
Youri Tielemans,Aston Villa,Midfielder,Touches,2385
Youri Tielemans,Aston Villa,Midfielder,Miscontrols,31
Youri Tielemans,Aston Villa,Midfielder,Dispossessed,29
Youri Tielemans,Aston Villa,Midfielder,Yellow Cards,4
Youri Tielemans,Aston Villa,Midfielder,Red Cards,0
Youri Tielemans,Aston Villa,Midfielder,Fouls committed,41
Youri Tielemans,Aston Villa,Midfielder,Aerials Won,22
