Player Name,Club,Position,Metric,Value
Alisson,Liverpool,GK,Post Shot Xg + goals Allowed (PSxG-GA),NA
Alisson,Liverpool,GK,Goals Against,29
Alisson,Liverpool,GK,Save Percentage,NA
Alisson,Liverpool,GK,Clean Sheet Percentage,NA
Alisson,Liverpool,GK,Touches,1010
Alisson,Liverpool,GK,Avg Length Of goalkicks,NA
Alisson,Liverpool,GK,Crosses Stopped,11
Alisson,Liverpool,GK,Def Actions outside Pen area,49
Alisson,Liverpool,GK,Avg distance of defensive actions,NA
Alisson,Liverpool,GK,Saves,73
Alisson,Liverpool,GK,Pass Completion percentage,82.8
