Player Name,Club,Position,Metric,Value
Anatolii Trubin,Benfica,GK,Post Shot Xg + goals Allowed (PSxG-GA),NA
Anatolii Trubin,Benfica,GK,Goals Against,28
Anatolii Trubin,Benfica,GK,Save Percentage,NA
Anatolii Trubin,Benfica,GK,Clean Sheet Percentage,NA
Anatolii Trubin,Benfica,GK,Touches,915
Anatolii Trubin,Benfica,GK,Avg Length Of goalkicks,NA
Anatolii Trubin,Benfica,GK,Crosses Stopped,22
Anatolii Trubin,Benfica,GK,Def Actions outside Pen area,18
Anatolii Trubin,Benfica,GK,Avg distance of defensive actions,NA
Anatolii Trubin,Benfica,GK,Saves,72
Anatolii Trubin,Benfica,GK,Pass Completion percentage,84.1
