Player Name,Club,Position,Metric,Value
Bart Verbruggen,Brighton & Hove Albion,GK,Post Shot Xg + goals Allowed (PSxG-GA),NA
Bart Verbruggen,Brighton & Hove Albion,GK,Goals Against,58
Bart Verbruggen,Brighton & Hove Albion,GK,Save Percentage,NA
Bart Verbruggen,Brighton & Hove Albion,GK,Clean Sheet Percentage,NA
Bart Verbruggen,Brighton & Hove Albion,GK,Touches,1406
Bart Verbruggen,Brighton & Hove Albion,GK,Avg Length Of goalkicks,NA
Bart Verbruggen,Brighton & Hove Albion,GK,Crosses Stopped,27
Bart Verbruggen,Brighton & Hove Albion,GK,Def Actions outside Pen area,47
Bart Verbruggen,Brighton & Hove Albion,GK,Avg distance of defensive actions,NA
Bart Verbruggen,Brighton & Hove Albion,GK,Saves,87
Bart Verbruggen,Brighton & Hove Albion,GK,Pass Completion percentage,76.9
