Player Name,Club,Position,Metric,Value
David Raya,Arsenal,GK,Post Shot Xg + goals Allowed (PSxG-GA),NA
David Raya,Arsenal,GK,Goals Against,34
David Raya,Arsenal,GK,Save Percentage,NA
David Raya,Arsenal,GK,Clean Sheet Percentage,NA
David Raya,Arsenal,GK,Touches,1480
David Raya,Arsenal,GK,Avg Length Of goalkicks,NA
David Raya,Arsenal,GK,Crosses Stopped,53
David Raya,Arsenal,GK,Def Actions outside Pen area,66
David Raya,Arsenal,GK,Avg distance of defensive actions,NA
David Raya,Arsenal,GK,Saves,86
David Raya,Arsenal,GK,Pass Completion percentage,73.6
