Player Name,Club,Position,Metric,Value
Dean Henderson,Crystal Palace,GK,Post Shot Xg + goals Allowed (PSxG-GA),NA
Dean Henderson,Crystal Palace,GK,Goals Against,51
Dean Henderson,Crystal Palace,GK,Save Percentage,NA
Dean Henderson,Crystal Palace,GK,Clean Sheet Percentage,NA
Dean Henderson,Crystal Palace,GK,Touches,1308
Dean Henderson,Crystal Palace,GK,Avg Length Of goalkicks,NA
Dean Henderson,Crystal Palace,GK,Crosses Stopped,30
Dean Henderson,Crystal Palace,GK,Def Actions outside Pen area,40
Dean Henderson,Crystal Palace,GK,Avg distance of defensive actions,NA
Dean Henderson,Crystal Palace,GK,Saves,101
Dean Henderson,Crystal Palace,GK,Pass Completion percentage,61.3
