Player Name,Club,Position,Metric,Value
Dennis Seimen,Paderborn 07,GK,Post Shot Xg + goals Allowed (PSxG-GA),NA
Dennis Seimen,Paderborn 07,GK,Goals Against,55
Dennis Seimen,Paderborn 07,GK,Save Percentage,NA
Dennis Seimen,Paderborn 07,GK,Clean Sheet Percentage,NA
Dennis Seimen,Paderborn 07,GK,Touches,NA
Dennis Seimen,Paderborn 07,GK,Avg Length Of goalkicks,NA
Dennis Seimen,Paderborn 07,GK,Crosses Stopped,NA
Dennis Seimen,Paderborn 07,GK,Def Actions outside Pen area,NA
Dennis Seimen,Paderborn 07,GK,Avg distance of defensive actions,NA
Dennis Seimen,Paderborn 07,GK,Saves,NA
Dennis Seimen,Paderborn 07,GK,Pass Completion percentage,NA
