Player Name,Club,Position,Metric,Value
Diogo Costa,Porto,GK,Post Shot Xg + goals Allowed (PSxG-GA),NA
Diogo Costa,Porto,GK,Goals Against,27
Diogo Costa,Porto,GK,Save Percentage,NA
Diogo Costa,Porto,GK,Clean Sheet Percentage,NA
Diogo Costa,Porto,GK,Touches,1275
Diogo Costa,Porto,GK,Avg Length Of goalkicks,NA
Diogo Costa,Porto,GK,Crosses Stopped,19
Diogo Costa,Porto,GK,Def Actions outside Pen area,51
Diogo Costa,Porto,GK,Avg distance of defensive actions,NA
Diogo Costa,Porto,GK,Saves,57
Diogo Costa,Porto,GK,Pass Completion percentage,83.1
