Player Name,Club,Position,Metric,Value
Ederson,Fenerbahçe,GK,Post Shot Xg + goals Allowed (PSxG-GA),NA
Ederson,Fenerbahçe,GK,Goals Against,26
Ederson,Fenerbahçe,GK,Save Percentage,NA
Ederson,Fenerbahçe,GK,Clean Sheet Percentage,NA
Ederson,Fenerbahçe,GK,Touches,975
Ederson,Fenerbahçe,GK,Avg Length Of goalkicks,NA
Ederson,Fenerbahçe,GK,Crosses Stopped,13
Ederson,Fenerbahçe,GK,Def Actions outside Pen area,49
Ederson,Fenerbahçe,GK,Avg distance of defensive actions,NA
Ederson,Fenerbahçe,GK,Saves,53
Ederson,Fenerbahçe,GK,Pass Completion percentage,87.9
