Player Name,Club,Position,Metric,Value
Emiliano Martínez,Aston Villa,GK,Post Shot Xg + goals Allowed (PSxG-GA),NA
Emiliano Martínez,Aston Villa,GK,Goals Against,45
Emiliano Martínez,Aston Villa,GK,Save Percentage,NA
Emiliano Martínez,Aston Villa,GK,Clean Sheet Percentage,NA
Emiliano Martínez,Aston Villa,GK,Touches,1449
Emiliano Martínez,Aston Villa,GK,Avg Length Of goalkicks,NA
Emiliano Martínez,Aston Villa,GK,Crosses Stopped,56
Emiliano Martínez,Aston Villa,GK,Def Actions outside Pen area,35
Emiliano Martínez,Aston Villa,GK,Avg distance of defensive actions,NA
Emiliano Martínez,Aston Villa,GK,Saves,96
Emiliano Martínez,Aston Villa,GK,Pass Completion percentage,78.7
