Player Name,Club,Position,Metric,Value
Gavin Bazunu,Southampton,GK,Post Shot Xg + goals Allowed (PSxG-GA),NA
Gavin Bazunu,Southampton,GK,Goals Against,2
Gavin Bazunu,Southampton,GK,Save Percentage,NA
Gavin Bazunu,Southampton,GK,Clean Sheet Percentage,NA
Gavin Bazunu,Southampton,GK,Touches,222
Gavin Bazunu,Southampton,GK,Avg Length Of goalkicks,NA
Gavin Bazunu,Southampton,GK,Crosses Stopped,0
Gavin Bazunu,Southampton,GK,Def Actions outside Pen area,15
Gavin Bazunu,Southampton,GK,Avg distance of defensive actions,NA
Gavin Bazunu,Southampton,GK,Saves,13
Gavin Bazunu,Southampton,GK,Pass Completion percentage,61.8
