Player Name,Club,Position,Metric,Value
Gianluigi Donnarumma,Manchester City,GK,Post Shot Xg + goals Allowed (PSxG-GA),NA
Gianluigi Donnarumma,Manchester City,GK,Goals Against,25
Gianluigi Donnarumma,Manchester City,GK,Save Percentage,NA
Gianluigi Donnarumma,Manchester City,GK,Clean Sheet Percentage,NA
Gianluigi Donnarumma,Manchester City,GK,Touches,677
Gianluigi Donnarumma,Manchester City,GK,Avg Length Of goalkicks,NA
Gianluigi Donnarumma,Manchester City,GK,Crosses Stopped,10
Gianluigi Donnarumma,Manchester City,GK,Def Actions outside Pen area,19
Gianluigi Donnarumma,Manchester City,GK,Avg distance of defensive actions,NA
Gianluigi Donnarumma,Manchester City,GK,Saves,49
Gianluigi Donnarumma,Manchester City,GK,Pass Completion percentage,87.3
