Player Name,Club,Position,Metric,Value
Giorgi Mamardashvili,Liverpool,GK,Post Shot Xg + goals Allowed (PSxG-GA),NA
Giorgi Mamardashvili,Liverpool,GK,Goals Against,48
Giorgi Mamardashvili,Liverpool,GK,Save Percentage,NA
Giorgi Mamardashvili,Liverpool,GK,Clean Sheet Percentage,NA
Giorgi Mamardashvili,Liverpool,GK,Touches,1163
Giorgi Mamardashvili,Liverpool,GK,Avg Length Of goalkicks,NA
Giorgi Mamardashvili,Liverpool,GK,Crosses Stopped,33
Giorgi Mamardashvili,Liverpool,GK,Def Actions outside Pen area,38
Giorgi Mamardashvili,Liverpool,GK,Avg distance of defensive actions,NA
Giorgi Mamardashvili,Liverpool,GK,Saves,89
Giorgi Mamardashvili,Liverpool,GK,Pass Completion percentage,67.8
