Player Name,Club,Position,Metric,Value
Gregor Kobel,Dortmund,GK,Post Shot Xg + goals Allowed (PSxG-GA),NA
Gregor Kobel,Dortmund,GK,Goals Against,47
Gregor Kobel,Dortmund,GK,Save Percentage,NA
Gregor Kobel,Dortmund,GK,Clean Sheet Percentage,NA
Gregor Kobel,Dortmund,GK,Touches,1312
Gregor Kobel,Dortmund,GK,Avg Length Of goalkicks,NA
Gregor Kobel,Dortmund,GK,Crosses Stopped,22
Gregor Kobel,Dortmund,GK,Def Actions outside Pen area,47
Gregor Kobel,Dortmund,GK,Avg distance of defensive actions,NA
Gregor Kobel,Dortmund,GK,Saves,82
Gregor Kobel,Dortmund,GK,Pass Completion percentage,80.0
