Player Name,Club,Position,Metric,Value
Guillaume Restes,Toulouse,GK,Post Shot Xg + goals Allowed (PSxG-GA),NA
Guillaume Restes,Toulouse,GK,Goals Against,36
Guillaume Restes,Toulouse,GK,Save Percentage,NA
Guillaume Restes,Toulouse,GK,Clean Sheet Percentage,NA
Guillaume Restes,Toulouse,GK,Touches,867
Guillaume Restes,Toulouse,GK,Avg Length Of goalkicks,NA
Guillaume Restes,Toulouse,GK,Crosses Stopped,5
Guillaume Restes,Toulouse,GK,Def Actions outside Pen area,34
Guillaume Restes,Toulouse,GK,Avg distance of defensive actions,NA
Guillaume Restes,Toulouse,GK,Saves,58
Guillaume Restes,Toulouse,GK,Pass Completion percentage,72.4
