Player Name,Club,Position,Metric,Value
James Trafford,Manchester City,GK,Post Shot Xg + goals Allowed (PSxG-GA),NA
James Trafford,Manchester City,GK,Goals Against,16
James Trafford,Manchester City,GK,Save Percentage,NA
James Trafford,Manchester City,GK,Clean Sheet Percentage,NA
James Trafford,Manchester City,GK,Touches,1813
James Trafford,Manchester City,GK,Avg Length Of goalkicks,NA
James Trafford,Manchester City,GK,Crosses Stopped,30
James Trafford,Manchester City,GK,Def Actions outside Pen area,50
James Trafford,Manchester City,GK,Avg distance of defensive actions,NA
James Trafford,Manchester City,GK,Saves,85
James Trafford,Manchester City,GK,Pass Completion percentage,73.3
