Player Name,Club,Position,Metric,Value
Jan Oblak,Atlético Madrid,GK,Post Shot Xg + goals Allowed (PSxG-GA),NA
Jan Oblak,Atlético Madrid,GK,Goals Against,30
Jan Oblak,Atlético Madrid,GK,Save Percentage,NA
Jan Oblak,Atlético Madrid,GK,Clean Sheet Percentage,NA
Jan Oblak,Atlético Madrid,GK,Touches,1005
Jan Oblak,Atlético Madrid,GK,Avg Length Of goalkicks,NA
Jan Oblak,Atlético Madrid,GK,Crosses Stopped,28
Jan Oblak,Atlético Madrid,GK,Def Actions outside Pen area,28
Jan Oblak,Atlético Madrid,GK,Avg distance of defensive actions,NA
Jan Oblak,Atlético Madrid,GK,Saves,86
Jan Oblak,Atlético Madrid,GK,Pass Completion percentage,80.5
