Player Name,Club,Position,Metric,Value
Jonas Urbig,Bayern Munich,GK,Post Shot Xg + goals Allowed (PSxG-GA),NA
Jonas Urbig,Bayern Munich,GK,Goals Against,20
Jonas Urbig,Bayern Munich,GK,Save Percentage,NA
Jonas Urbig,Bayern Munich,GK,Clean Sheet Percentage,NA
Jonas Urbig,Bayern Munich,GK,Touches,310
Jonas Urbig,Bayern Munich,GK,Avg Length Of goalkicks,NA
Jonas Urbig,Bayern Munich,GK,Crosses Stopped,5
Jonas Urbig,Bayern Munich,GK,Def Actions outside Pen area,21
Jonas Urbig,Bayern Munich,GK,Avg distance of defensive actions,NA
Jonas Urbig,Bayern Munich,GK,Saves,22
Jonas Urbig,Bayern Munich,GK,Pass Completion percentage,81.1
