Player Name,Club,Position,Metric,Value
Kepa Arrizabalaga,Arsenal,GK,Post Shot Xg + goals Allowed (PSxG-GA),NA
Kepa Arrizabalaga,Arsenal,GK,Goals Against,39
Kepa Arrizabalaga,Arsenal,GK,Save Percentage,NA
Kepa Arrizabalaga,Arsenal,GK,Clean Sheet Percentage,NA
Kepa Arrizabalaga,Arsenal,GK,Touches,1087
Kepa Arrizabalaga,Arsenal,GK,Avg Length Of goalkicks,NA
Kepa Arrizabalaga,Arsenal,GK,Crosses Stopped,22
Kepa Arrizabalaga,Arsenal,GK,Def Actions outside Pen area,54
Kepa Arrizabalaga,Arsenal,GK,Avg distance of defensive actions,NA
Kepa Arrizabalaga,Arsenal,GK,Saves,95
Kepa Arrizabalaga,Arsenal,GK,Pass Completion percentage,73.2
