Player Name,Club,Position,Metric,Value
Lucas Chevalier,Paris Saint-Germain,GK,Post Shot Xg + goals Allowed (PSxG-GA),NA
Lucas Chevalier,Paris Saint-Germain,GK,Goals Against,36
Lucas Chevalier,Paris Saint-Germain,GK,Save Percentage,NA
Lucas Chevalier,Paris Saint-Germain,GK,Clean Sheet Percentage,NA
Lucas Chevalier,Paris Saint-Germain,GK,Touches,1150
Lucas Chevalier,Paris Saint-Germain,GK,Avg Length Of goalkicks,NA
Lucas Chevalier,Paris Saint-Germain,GK,Crosses Stopped,21
Lucas Chevalier,Paris Saint-Germain,GK,Def Actions outside Pen area,24
Lucas Chevalier,Paris Saint-Germain,GK,Avg distance of defensive actions,NA
Lucas Chevalier,Paris Saint-Germain,GK,Saves,91
Lucas Chevalier,Paris Saint-Germain,GK,Pass Completion percentage,79.6
