Player Name,Club,Position,Metric,Value
Manuel Neuer,Bayern Munich,GK,Post Shot Xg + goals Allowed (PSxG-GA),NA
Manuel Neuer,Bayern Munich,GK,Goals Against,15
Manuel Neuer,Bayern Munich,GK,Save Percentage,NA
Manuel Neuer,Bayern Munich,GK,Clean Sheet Percentage,NA
Manuel Neuer,Bayern Munich,GK,Touches,956
Manuel Neuer,Bayern Munich,GK,Avg Length Of goalkicks,NA
Manuel Neuer,Bayern Munich,GK,Crosses Stopped,6
Manuel Neuer,Bayern Munich,GK,Def Actions outside Pen area,40
Manuel Neuer,Bayern Munich,GK,Avg distance of defensive actions,NA
Manuel Neuer,Bayern Munich,GK,Saves,30
Manuel Neuer,Bayern Munich,GK,Pass Completion percentage,86.0
