Player Name,Club,Position,Metric,Value
Marc-André ter Stegen,Barcelona,GK,Post Shot Xg + goals Allowed (PSxG-GA),NA
Marc-André ter Stegen,Barcelona,GK,Goals Against,9
Marc-André ter Stegen,Barcelona,GK,Save Percentage,NA
Marc-André ter Stegen,Barcelona,GK,Clean Sheet Percentage,NA
Marc-André ter Stegen,Barcelona,GK,Touches,262
Marc-André ter Stegen,Barcelona,GK,Avg Length Of goalkicks,NA
Marc-André ter Stegen,Barcelona,GK,Crosses Stopped,5
Marc-André ter Stegen,Barcelona,GK,Def Actions outside Pen area,13
Marc-André ter Stegen,Barcelona,GK,Avg distance of defensive actions,NA
Marc-André ter Stegen,Barcelona,GK,Saves,13
Marc-André ter Stegen,Barcelona,GK,Pass Completion percentage,92.8
