Player Name,Club,Position,Metric,Value
Marco Carnesecchi,Atalanta,GK,Post Shot Xg + goals Allowed (PSxG-GA),NA
Marco Carnesecchi,Atalanta,GK,Goals Against,34
Marco Carnesecchi,Atalanta,GK,Save Percentage,NA
Marco Carnesecchi,Atalanta,GK,Clean Sheet Percentage,NA
Marco Carnesecchi,Atalanta,GK,Touches,1178
Marco Carnesecchi,Atalanta,GK,Avg Length Of goalkicks,NA
Marco Carnesecchi,Atalanta,GK,Crosses Stopped,21
Marco Carnesecchi,Atalanta,GK,Def Actions outside Pen area,45
Marco Carnesecchi,Atalanta,GK,Avg distance of defensive actions,NA
Marco Carnesecchi,Atalanta,GK,Saves,97
Marco Carnesecchi,Atalanta,GK,Pass Completion percentage,75.0
