Player Name,Club,Position,Metric,Value
Mike Maignan,Milan,GK,Post Shot Xg + goals Allowed (PSxG-GA),NA
Mike Maignan,Milan,GK,Goals Against,41
Mike Maignan,Milan,GK,Save Percentage,NA
Mike Maignan,Milan,GK,Clean Sheet Percentage,NA
Mike Maignan,Milan,GK,Touches,1635
Mike Maignan,Milan,GK,Avg Length Of goalkicks,NA
Mike Maignan,Milan,GK,Crosses Stopped,26
Mike Maignan,Milan,GK,Def Actions outside Pen area,68
Mike Maignan,Milan,GK,Avg distance of defensive actions,NA
Mike Maignan,Milan,GK,Saves,97
Mike Maignan,Milan,GK,Pass Completion percentage,86.2
