Player Name,Club,Position,Metric,Value
Neto,Botafogo (RJ),GK,Post Shot Xg + goals Allowed (PSxG-GA),NA
Neto,Botafogo (RJ),GK,Goals Against,2
Neto,Botafogo (RJ),GK,Save Percentage,NA
Neto,Botafogo (RJ),GK,Clean Sheet Percentage,NA
Neto,Botafogo (RJ),GK,Touches,70
Neto,Botafogo (RJ),GK,Avg Length Of goalkicks,NA
Neto,Botafogo (RJ),GK,Crosses Stopped,2
Neto,Botafogo (RJ),GK,Def Actions outside Pen area,3
Neto,Botafogo (RJ),GK,Avg distance of defensive actions,NA
Neto,Botafogo (RJ),GK,Saves,11
Neto,Botafogo (RJ),GK,Pass Completion percentage,64.5
