Player Name,Club,Position,Metric,Value
Nick Pope,Newcastle United,GK,Post Shot Xg + goals Allowed (PSxG-GA),NA
Nick Pope,Newcastle United,GK,Goals Against,35
Nick Pope,Newcastle United,GK,Save Percentage,NA
Nick Pope,Newcastle United,GK,Clean Sheet Percentage,NA
Nick Pope,Newcastle United,GK,Touches,872
Nick Pope,Newcastle United,GK,Avg Length Of goalkicks,NA
Nick Pope,Newcastle United,GK,Crosses Stopped,39
Nick Pope,Newcastle United,GK,Def Actions outside Pen area,64
Nick Pope,Newcastle United,GK,Avg distance of defensive actions,NA
Nick Pope,Newcastle United,GK,Saves,86
Nick Pope,Newcastle United,GK,Pass Completion percentage,73.5
