Player Name,Club,Position,Metric,Value
Rui Patrício,Al Ain,GK,Post Shot Xg + goals Allowed (PSxG-GA),NA
Rui Patrício,Al Ain,GK,Goals Against,3
Rui Patrício,Al Ain,GK,Save Percentage,NA
Rui Patrício,Al Ain,GK,Clean Sheet Percentage,NA
Rui Patrício,Al Ain,GK,Touches,107
Rui Patrício,Al Ain,GK,Avg Length Of goalkicks,NA
Rui Patrício,Al Ain,GK,Crosses Stopped,0
Rui Patrício,Al Ain,GK,Def Actions outside Pen area,10
Rui Patrício,Al Ain,GK,Avg distance of defensive actions,NA
Rui Patrício,Al Ain,GK,Saves,11
Rui Patrício,Al Ain,GK,Pass Completion percentage,84.2
