Player Name,Club,Position,Metric,Value
Thibaut Courtois,Real Madrid,GK,Post Shot Xg + goals Allowed (PSxG-GA),NA
Thibaut Courtois,Real Madrid,GK,Goals Against,29
Thibaut Courtois,Real Madrid,GK,Save Percentage,NA
Thibaut Courtois,Real Madrid,GK,Clean Sheet Percentage,NA
Thibaut Courtois,Real Madrid,GK,Touches,1088
Thibaut Courtois,Real Madrid,GK,Avg Length Of goalkicks,NA
Thibaut Courtois,Real Madrid,GK,Crosses Stopped,16
Thibaut Courtois,Real Madrid,GK,Def Actions outside Pen area,14
Thibaut Courtois,Real Madrid,GK,Avg distance of defensive actions,NA
Thibaut Courtois,Real Madrid,GK,Saves,76
Thibaut Courtois,Real Madrid,GK,Pass Completion percentage,83.1
