Player Name,Club,Position,Metric,Value
Unai Simón,Athletic Club,GK,Post Shot Xg + goals Allowed (PSxG-GA),NA
Unai Simón,Athletic Club,GK,Goals Against,14
Unai Simón,Athletic Club,GK,Save Percentage,NA
Unai Simón,Athletic Club,GK,Clean Sheet Percentage,NA
Unai Simón,Athletic Club,GK,Touches,704
Unai Simón,Athletic Club,GK,Avg Length Of goalkicks,NA
Unai Simón,Athletic Club,GK,Crosses Stopped,19
Unai Simón,Athletic Club,GK,Def Actions outside Pen area,28
Unai Simón,Athletic Club,GK,Avg distance of defensive actions,NA
Unai Simón,Athletic Club,GK,Saves,47
Unai Simón,Athletic Club,GK,Pass Completion percentage,69.6
