Player Name,Club,Position,Metric,Value
Wojciech Szczęsny,Barcelona,GK,Post Shot Xg + goals Allowed (PSxG-GA),NA
Wojciech Szczęsny,Barcelona,GK,Goals Against,12
Wojciech Szczęsny,Barcelona,GK,Save Percentage,NA
Wojciech Szczęsny,Barcelona,GK,Clean Sheet Percentage,NA
Wojciech Szczęsny,Barcelona,GK,Touches,492
Wojciech Szczęsny,Barcelona,GK,Avg Length Of goalkicks,NA
Wojciech Szczęsny,Barcelona,GK,Crosses Stopped,7
Wojciech Szczęsny,Barcelona,GK,Def Actions outside Pen area,56
Wojciech Szczęsny,Barcelona,GK,Avg distance of defensive actions,NA
Wojciech Szczęsny,Barcelona,GK,Saves,21
Wojciech Szczęsny,Barcelona,GK,Pass Completion percentage,88.5
