Player Name,Club,Position,Metric,Value
Yann Sommer,Internazionale,GK,Post Shot Xg + goals Allowed (PSxG-GA),NA
Yann Sommer,Internazionale,GK,Goals Against,32
Yann Sommer,Internazionale,GK,Save Percentage,NA
Yann Sommer,Internazionale,GK,Clean Sheet Percentage,NA
Yann Sommer,Internazionale,GK,Touches,1388
Yann Sommer,Internazionale,GK,Avg Length Of goalkicks,NA
Yann Sommer,Internazionale,GK,Crosses Stopped,14
Yann Sommer,Internazionale,GK,Def Actions outside Pen area,14
Yann Sommer,Internazionale,GK,Avg distance of defensive actions,NA
Yann Sommer,Internazionale,GK,Saves,84
Yann Sommer,Internazionale,GK,Pass Completion percentage,87.6
